archive_name,archive_sha256,at_csv_data_rows,at_csv_member,at_meta_member,cell,charge_discharge_disagreement_at_percent,charge_discharge_disagreement_et_percent,elapsed_seconds,endpoint_extractor_sha256,error,et_csv_data_rows,et_csv_member,et_meta_member,file_id,lab,mapping_method,metadata_conflict_flags,q_charge_at_Ah,q_charge_et_Ah,q_discharge_at_Ah,q_discharge_et_Ah,q_rel_charge_percent,q_rel_discharge_percent,q_rel_end_percent,q_rpt_at_Ah,q_rpt_et_Ah,sampling,serial,serial_internal,stage,status,tp,type
TP_k01_03.zip,5651d4b05dd2f480d9da8ac0b5604805ecb24d3c790ab2a5370e363d282555c5,329026,TP_k01_03/TP_k01_03_09_AT_T23.csv,TP_k01_03/TP_k01_03_09_AT_T23_meta.txt,3,0.10684157903467137,0.3516322359979835,98.545,,,318709,TP_k01_03/TP_k01_03_01_ET_T23.csv,TP_k01_03/TP_k01_03_01_ET_T23_meta.txt,47627656,SIE,exact-archive-serial-plus-internal-serial,,4.815364894716892,4.862882514437969,4.810222829758794,4.880012093518411,99.02285075611027,98.56989568012935,98.79597503410437,4.812793862237843,4.87144730397819,FF,TP_k01_03,012,2,extracted-stage2,1,k
TP_k01_04.zip,8635faa9dab936109aff5968330518293964e734ae9af6157cfc72fc76a7c65b,619029,TP_k01_04/TP_k01_04_02_AT_T23.csv,TP_k01_04/TP_k01_04_02_AT_T23_meta.txt,4,0.17911483671262785,0.2549540059106852,128.254,,,617280,TP_k01_04/TP_k01_04_01_ET_T23.csv,TP_k01_04/TP_k01_04_01_ET_T23_meta.txt,47628241,SIE,exact-archive-serial-plus-internal-serial,,4.823875060845722,4.866017427183524,4.832523081728419,4.878439368661145,99.13394542932835,99.05879148098693,99.09632055315716,4.82819907128707,4.872228397922335,FF,TP_k01_04,070,2,extracted-stage2,1,k
TP_k02_04.zip,f162c2004c674967d5982a7e0f1bed88579cf8b8333ab6059009624e6dfaeb56,618226,TP_k02_04/TP_k02_04_02_AT_T23.csv,TP_k02_04/TP_k02_04_02_AT_T23_meta.txt,4,0.022517855439545643,0.08865813700784216,129.0,,,617661,TP_k02_04/TP_k02_04_01_ET_T23.csv,TP_k02_04/TP_k02_04_01_ET_T23_meta.txt,47628259,SIE,exact-archive-serial-plus-internal-serial,,4.767857965234665,4.85395989182213,4.766784466734911,4.85826523074997,98.22615084371571,98.11700762164982,98.17155504159592,4.767321215984788,4.85611256128605,FF,TP_k02_04,145,2,extracted-stage2,2,k
TP_k02_06.zip,29fd286a79f24ee5fc5f929d8d574c75314a0820983f1daae9b3b6cbeaacfeed,618013,TP_k02_06/TP_k02_06_02_AT_T23.csv,TP_k02_06/TP_k02_06_02_AT_T23_meta.txt,6,0.16941037755689742,0.24414367442247675,113.916,,,617824,TP_k02_06/TP_k02_06_01_ET_T23.csv,TP_k02_06/TP_k02_06_01_ET_T23_meta.txt,47628265,SIE,exact-archive-serial-plus-internal-serial,,4.759113067450715,4.851478213156199,4.767182333954068,4.863337266894378,98.09614427505811,98.02286110003404,98.05945795848702,4.763147700702392,4.857407740025288,FF,TP_k02_06,095,2,extracted-stage2,2,k
TP_k01_06.zip,d8c3a18b37f1ac6734e8bd2e4cccf8d48aef1f64b196b636622b5d0c27593280,618784,TP_k01_06/TP_k01_06_02_AT_T23.csv,TP_k01_06/TP_k01_06_02_AT_T23_meta.txt,6,0.08803638239288775,0.1711527894942224,89.181,,,617958,TP_k01_06/TP_k01_06_01_ET_T23.csv,TP_k01_06/TP_k01_06_01_ET_T23_meta.txt,47628313,SIE,exact-archive-serial-plus-internal-serial,,4.822179458484333,4.844244497127135,4.8264266003471015,4.852542657980777,99.54451021917066,99.4618067377373,99.50312309112512,4.824303029415717,4.848393577553956,FF,TP_k01_06,123,2,extracted-stage2,1,k
TP_k03_04.zip,4a1c0610a907effa6a19f47c9b02c1bcab2fa6c4c8a2b348a55c6f32ad6031e8,618591,TP_k03_04/TP_k03_04_02_AT_T23.csv,TP_k03_04/TP_k03_04_02_AT_T23_meta.txt,4,0.18831734451957732,0.2302820036087483,82.166,,,617228,TP_k03_04/TP_k03_04_01_ET_T23.csv,TP_k03_04/TP_k03_04_01_ET_T23_meta.txt,47628319,SIE,exact-archive-serial-plus-internal-serial,,4.8101436200777234,4.846819342641574,4.819210492056903,4.857993561442576,99.2433032887943,99.20166486646893,99.22246010618332,4.814677056067313,4.852406452042075,FF,TP_k03_04,189,2,extracted-stage2,3,k
TP_k01_05.zip,e28fed83c7e07af47427e8f50c00d14ea0147f46febfbe0cbfcf6c2425c10861,618684,TP_k01_05/TP_k01_05_02_AT_T23.csv,TP_k01_05/TP_k01_05_02_AT_T23_meta.txt,5,0.10143659205485941,0.003070700598798301,82.606,,,617450,TP_k01_05/TP_k01_05_01_ET_T23.csv,TP_k01_05/TP_k01_05_01_ET_T23_meta.txt,47628373,SIE,exact-archive-serial-plus-internal-serial,,4.831700591194218,4.858237116520023,4.826801963276824,4.858087936894225,99.45378282925775,99.35600231976449,99.40489332514778,4.829251277235521,4.858162526707124,FF,TP_k01_05,168,2,extracted-stage2,1,k
TP_k03_06.zip,d4d672f53fdec1892cd496a444ce4df17994aa51846a3c61c04391ddac359b5a,618960,TP_k03_06/TP_k03_06_02_AT_T23.csv,TP_k03_06/TP_k03_06_02_AT_T23_meta.txt,6,0.00952209172067687,0.09397127143628678,82.222,,,617704,TP_k03_06/TP_k03_06_01_ET_T23.csv,TP_k03_06/TP_k03_06_01_ET_T23_meta.txt,47628376,SIE,exact-archive-serial-plus-internal-serial,,4.8312086270225105,4.869058701969426,4.831668681042576,4.873636369184688,99.22264081696929,99.13888347502764,99.18074246903869,4.831438654032543,4.871347535577057,FF,TP_k03_06,118,2,extracted-stage2,3,k
TP_k08_04.zip,54e9f3f05a642c2a0f2a7c90ff3b0ebb589ff6cd34fe4cc68ece75cf2b2b1730,615305,TP_k08_04/TP_k08_04_02_AT_T23.csv,TP_k08_04/TP_k08_04_02_AT_T23_meta.txt,4,0.2594264800692308,0.3116010332812721,240.658,,,601745,TP_k08_04/TP_k08_04_01_ET_T23.csv,TP_k08_04/TP_k08_04_01_ET_T23_meta.txt,47628571,HM,exact-archive-serial-plus-internal-serial,,4.728628192562776,4.8647583331190285,4.740911439235544,4.87994062443998,97.20170805547554,97.1510066227416,97.17631784256149,4.73476981589916,4.872349478779505,manual,TP_k08_04,TP_k08_04,2,extracted-stage2,8,k
TP_k10_05.zip,60277f22508762fa673a1f482ea8b22dd4a7a9f9e8570bbf2c7b79960c0dd3c7,611644,TP_k10_05/TP_k10_05_02_AT_T23.csv,TP_k10_05/TP_k10_05_02_AT_T23_meta.txt,5,0.30171279448329746,0.37034073034666776,169.223,,,606005,TP_k10_05/TP_k10_05_01_ET_T23.csv,TP_k10_05/TP_k10_05_01_ET_T23_meta.txt,47629369,HM,exact-archive-serial-plus-internal-serial,,4.6044122427417316,4.843256010139758,4.618325332374604,4.8612258346098605,95.06852896278895,95.00330759155626,95.03585789184696,4.611368787558168,4.8522409223748095,manual,TP_k10_05,TP_k10_05,2,extracted-stage2,10,k
