archive_name,archive_sha256,at_csv_data_rows,at_csv_member,at_meta_member,cell,charge_discharge_disagreement_at_percent,charge_discharge_disagreement_et_percent,elapsed_seconds,error,et_csv_data_rows,et_csv_member,et_meta_member,file_id,lab,mapping_method,metadata_conflict_flags,q_charge_at_Ah,q_charge_et_Ah,q_discharge_at_Ah,q_discharge_et_Ah,q_rel_charge_percent,q_rel_discharge_percent,q_rel_end_percent,q_rpt_at_Ah,q_rpt_et_Ah,sampling,serial,serial_internal,stage,status,tp,type
TP_z19_02.zip,0aaf5d8ca4a64df96dce14902c63738bf8519cd50bb1a9051a2392bc590f2992,326392,TP_z19_02/TP_z19_02_31_AT_T23.csv,TP_z19_02/TP_z19_02_31_AT_T23_meta.txt,2,0.27828911353953933,0.2829839701118236,53.971,,321499,TP_z19_02/TP_z19_02_01_ET_T23.csv,TP_z19_02/TP_z19_02_01_ET_T23_meta.txt,47632270,HM,exact-archive-serial-plus-internal-serial,,4.627969619576219,4.89774639198061,4.640866700791911,4.9116258675120905,94.49181826061647,94.48738210067843,94.48959704224208,4.634418160184065,4.90468612974635,cLH,TP_z19_02,HM041,1,extracted-stage1,19,z
TP_z20_01.zip,d3a9ec6be0e1c79e15b6c482aaaffd04b46a04682e56a5d4044954271fc473bc,325956,TP_z20_01/TP_z20_01_31_AT_T23.csv,TP_z20_01/TP_z20_01_31_AT_T23_meta.txt,1,0.2705758393951149,0.28271278984312614,29.988,,321517,TP_z20_01/TP_z20_01_01_ET_T23.csv,TP_z20_01/TP_z20_01_01_ET_T23_meta.txt,47632273,HM,exact-archive-serial-plus-internal-serial,,4.459226333957082,4.888449139386331,4.471308268438533,4.9022889738193705,91.21965283486345,91.2085822014474,91.21410969363129,4.465267301197807,4.895369056602851,cLH,TP_z20_01,HM043,1,extracted-stage1,20,z
TP_z21_01.zip,4fffef00ea97eba4f20b3c0da533c728d21d4c6c4b215ecd4ca9c0842cbb2af0,326064,TP_z21_01/TP_z21_01_31_AT_T23.csv,TP_z21_01/TP_z21_01_31_AT_T23_meta.txt,1,0.25662871451695585,0.2668117882872698,40.746,,321572,TP_z21_01/TP_z21_01_01_ET_T23.csv,TP_z21_01/TP_z21_01_01_ET_T23_meta.txt,47632279,HM,exact-archive-serial-plus-internal-serial,,4.4480903356641734,4.863534986020298,4.459520078714473,4.876528805211151,91.45796932580366,91.44865655154021,91.45330672677703,4.453805207189323,4.870031895615725,cLH,TP_z21_01,HM046,1,extracted-stage1,21,z
TP_z19_01.zip,2583bbc95b9f571fc529aa913e3fcf83ef50fd1c7649537de865d7528f359040,326482,TP_z19_01/TP_z19_01_31_AT_T23.csv,TP_z19_01/TP_z19_01_31_AT_T23_meta.txt,1,0.2692347706957194,0.2824127665644614,24.577,,321174,TP_z19_01/TP_z19_01_01_ET_T23.csv,TP_z19_01/TP_z19_01_01_ET_T23_meta.txt,47632282,HM,exact-archive-serial-plus-internal-serial,,4.610443562408731,4.879639696243944,4.622873212031368,4.893439908489081,94.48327846741586,94.47082826156019,94.47704457424531,4.616658387220049,4.886539802366513,cLH,TP_z19_01,HM040,1,extracted-stage1,19,z
TP_z25_02.zip,823c52a887b9116c778dbf32eaf36f1d20f68c40fa7fac0448e014bce51dd25f,324417,TP_z25_02/TP_z25_02_31_AT_T23.csv,TP_z25_02/TP_z25_02_31_AT_T23_meta.txt,2,0.2682967719676801,0.24383873900939515,17.236,,321519,TP_z25_02/TP_z25_02_01_ET_T23.csv,TP_z25_02/TP_z25_02_01_ET_T23_meta.txt,47632285,HM,exact-archive-serial-plus-internal-serial,,4.190707364674582,4.880574356001562,4.201966000534906,4.892489613975048,85.86504495155039,85.88604845541806,85.87555950715397,4.196336682604744,4.886531984988305,cLH,TP_z25_02,HM059,1,extracted-stage1,25,z
TP_z19_03.zip,94a280ccc532610250394e518b748ae70474b4f2b9f7748a9e231687a6730b4f,326476,TP_z19_03/TP_z19_03_31_AT_T23.csv,TP_z19_03/TP_z19_03_31_AT_T23_meta.txt,3,0.3135708294961957,0.3283643738447875,33.065,,321537,TP_z19_03/TP_z19_03_01_ET_T23.csv,TP_z19_03/TP_z19_03_01_ET_T23_meta.txt,47632288,HM,exact-archive-serial-plus-internal-serial,,4.621980640702329,4.889616658495228,4.636496582616267,4.905698821666506,94.52644171342332,94.51245890063043,94.51943882838297,4.629238611659298,4.8976577400808665,cLH,TP_z19_03,HM042,1,extracted-stage1,19,z
TP_z22_02.zip,585ccb51e35889e195d09990af544421b76ee01406bd39f9295e98ea06ed911d,325425,TP_z22_02/TP_z22_02_31_AT_T23.csv,TP_z22_02/TP_z22_02_31_AT_T23_meta.txt,2,0.2598815831154149,0.30397777937545584,36.915,,321891,TP_z22_02/TP_z22_02_01_ET_T23.csv,TP_z22_02/TP_z22_02_01_ET_T23_meta.txt,47632291,HM,exact-archive-serial-plus-internal-serial,,4.291706411806776,4.8490038837350316,4.302874277986159,4.863766215166273,88.50696998207006,88.4679503009184,88.48743048870415,4.297290344896467,4.856385049450653,cLH,TP_z22_02,HM050,1,extracted-stage1,22,z
TP_z22_03.zip,32ab3c5f5cbc2e7bc1f0e80c8e6df2d46cbd8e2339316078732844adc7d1acc9,325447,TP_z22_03/TP_z22_03_31_AT_T23.csv,TP_z22_03/TP_z22_03_31_AT_T23_meta.txt,3,0.2748867858159488,0.2889910384561912,22.628,,321801,TP_z22_03/TP_z22_03_01_ET_T23.csv,TP_z22_03/TP_z22_03_01_ET_T23_meta.txt,47632294,HM,exact-archive-serial-plus-internal-serial,,4.276402408521207,4.829119574201498,4.288173852722852,4.84309549158166,88.55449410213282,88.54200500850374,88.54824053222795,4.28228813062203,4.836107532891579,cLH,TP_z22_03,HM051,1,extracted-stage1,22,z
TP_z21_02.zip,9f26a7258aea810346581c8c98314979db0ac85bc7182dd6088585bb88559309,325979,TP_z21_02/TP_z21_02_31_AT_T23.csv,TP_z21_02/TP_z21_02_31_AT_T23_meta.txt,2,0.2837867084727998,0.28555725152067063,23.381,,321422,TP_z21_02/TP_z21_02_01_ET_T23.csv,TP_z21_02/TP_z21_02_01_ET_T23_meta.txt,47632297,HM,exact-archive-serial-plus-internal-serial,,4.44945724611553,4.875497161198351,4.462102156666908,4.889439403431698,91.26161084712632,91.25999503205092,91.26080178606935,4.455779701391219,4.882468282315024,cLH,TP_z21_02,HM047,1,extracted-stage1,21,z
TP_z20_02.zip,452e50355287626fcfe6ce305f483d62da3d52e3f63a26884ba7ee0dedd10bd1,325915,TP_z20_02/TP_z20_02_31_AT_T23.csv,TP_z20_02/TP_z20_02_31_AT_T23_meta.txt,2,0.2674165499758138,0.31366033868368914,21.239,,321549,TP_z20_02/TP_z20_02_01_ET_T23.csv,TP_z20_02/TP_z20_02_01_ET_T23_meta.txt,47632300,HM,exact-archive-serial-plus-internal-serial,,4.4332589841640475,4.8511282687505695,4.445130125088744,4.866368234973147,91.38614232737767,91.34389159338394,91.36498382943198,4.439194554626395,4.858748251861858,cLH,TP_z20_02,HM044,1,extracted-stage1,20,z
