file_id,serial_internal,serial,condition_group,lab,type,tp,cell,sampling,source_prediction,source_prediction_center,source_prediction_centered,source_uncertainty_normalized,source_distance,provenance_compatibility,wrong_property_mass_prediction
47629945,INT098,TP_k06_06,k|23|0.8,INT,k,6,6,pi,97.97402415200422,97.13499497149634,0.8390291805078789,0.417543198922718,0.21052631578947367,0.5,68.25891415714308
47630437,INT003,TP_k07_01,k|23|0.8,INT,k,7,1,pi,97.97587798610228,97.13499497149634,0.8408830146059358,0.41598649519661485,0.21052631578947367,0.5,68.25256815714307
47630674,INT045,TP_k07_02,k|23|0.8,INT,k,7,2,pi,97.97402415200422,97.13499497149634,0.8390291805078789,0.417543198922718,0.21052631578947367,0.5,68.25001449047643
47630677,INT080,TP_k07_03,k|23|0.8,INT,k,7,3,pi,97.97402415200422,97.13499497149634,0.8390291805078789,0.417543198922718,0.21052631578947367,0.5,68.24640982380976
47629834,INT134,TP_k07_04,k|23|0.8,INT,k,7,4,pi,98.00745274185334,97.13499497149634,0.872457770357002,0.3707273111719992,0.21052631578947367,0.5,68.3023978904764
47629909,INT052,TP_k07_05,k|23|0.8,INT,k,7,5,pi,97.97894558608016,97.13499497149634,0.843950614583818,0.44639305497664433,0.21052631578947367,0.5,68.2608510571431
47629831,INT151,TP_k07_06,k|23|0.8,INT,k,7,6,pi,98.00745274185334,97.13499497149634,0.872457770357002,0.3707273111719992,0.21052631578947367,0.5,68.3023978904764
47630716,TP_k09_01,TP_k09_01,k|23|0.9,HM,k,9,1,manual,94.8758083857207,97.13499497149634,-2.2591865857756375,2.112387250904074,0.10526315789473684,0.5,68.30004234761907
47630728,TP_k09_02,TP_k09_02,k|23|0.9,HM,k,9,2,manual,94.8758083857207,97.13499497149634,-2.2591865857756375,2.112387250904074,0.10526315789473684,0.5,68.30004234761907
47630722,TP_k09_03,TP_k09_03,k|23|0.9,HM,k,9,3,manual,94.8758083857207,97.13499497149634,-2.2591865857756375,2.112387250904074,0.10526315789473684,0.5,68.30004234761907
47629396,TP_k09_04,TP_k09_04,k|23|0.9,HM,k,9,4,manual,94.86181094719997,97.13499497149634,-2.27318402429637,2.1048792567075165,0.10526315789473684,0.5,68.36864282380945
47629381,TP_k09_05,TP_k09_05,k|23|0.9,HM,k,9,5,manual,94.87260638204862,97.13499497149634,-2.262388589447724,2.1226338207362923,0.10526315789473684,0.5,68.36688315714282
47629390,TP_k09_06,TP_k09_06,k|23|0.9,HM,k,9,6,manual,94.86181094719997,97.13499497149634,-2.27318402429637,2.1048792567075165,0.10526315789473684,0.5,68.36864282380945
47630698,TP_k10_01,TP_k10_01,k|45|0.65,HM,k,10,1,manual,94.35829026198503,97.13499497149634,-2.776704709511307,1.0963416998901656,0.1578947368421052,0.5,68.31057571428573
47630701,TP_k10_02,TP_k10_02,k|45|0.65,HM,k,10,2,manual,94.35829026198503,97.13499497149634,-2.776704709511307,1.0963416998901656,0.1578947368421052,0.5,68.31057571428573
47630719,TP_k10_03,TP_k10_03,k|45|0.65,HM,k,10,3,manual,94.35774375386805,97.13499497149634,-2.77725121762829,1.0997257530836464,0.1578947368421052,0.5,68.42091452380943
47629387,TP_k10_04,TP_k10_04,k|45|0.65,HM,k,10,4,manual,94.35774375386805,97.13499497149634,-2.77725121762829,1.0997257530836464,0.1578947368421052,0.5,68.42091452380943
47629369,TP_k10_05,TP_k10_05,k|45|0.65,HM,k,10,5,manual,94.35774375386805,97.13499497149634,-2.77725121762829,1.0997257530836464,0.1578947368421052,0.5,68.42091452380943
47629423,TP_k10_06,TP_k10_06,k|45|0.65,HM,k,10,6,manual,94.35774375386805,97.13499497149634,-2.77725121762829,1.0997257530836464,0.1578947368421052,0.5,68.41690604761908
47630773,TP_k11_01,TP_k11_01,k|45|0.9,HM,k,11,1,manual,93.47358756556156,97.13499497149634,-3.6614074059347814,0.7698599678607464,0.10526315789473684,0.5,68.42670521428579
47630755,TP_k11_02,TP_k11_02,k|45|0.9,HM,k,11,2,manual,93.44932120659784,97.13499497149634,-3.685673764898496,0.7598537776791061,0.10526315789473684,0.5,68.4381885476191
