file_id,archive_name,archive_bytes,archive_sha256,zip_entries,metadata_entries,numeric_csv_entries_present_but_not_opened,numeric_csv_entries_opened,mapping_evidence_entry,archive_internal_serial,archive_testpoint_raw,archive_lab_raw,measurement_start_date,serial_internal,serial,stage,lab,type,tp,cell,sampling,mapping_method,metadata_conflict_flags,candidate_stages,status,error,elapsed_seconds
47627638,TP_k02_01.zip,10835626,d79cbcdfca8700ccb9e828b97c87589d3a0a64046df4281198c41bfe807ccc12,27,13,13,False,TP_k02_01/TP_k02_01_01_ET_T10_meta.txt,131,,SIE,,131,TP_k02_01,2,SIE,k,2,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.25
47627641,TP_k03_05.zip,11645807,a1715f49ff7754d2503260fbe83c173c27e5f3ebbff7377433ed238bbbcc5bcd,13,6,6,False,TP_k03_05/TP_k03_05_01_ET_T10_meta.txt,013,,SIE,,013,TP_k03_05,2,SIE,k,3,5,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,9.941
47627644,TP_k03_03.zip,10510085,a0f73b0507b28dd2cd1bc290d035df775dc95b0be7415d9e128cd9ee74cfd398,27,13,13,False,TP_k03_03/TP_k03_03_01_ET_T10_meta.txt,130,,SIE,,130,TP_k03_03,2,SIE,k,3,3,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,23.248
47627647,TP_k02_03.zip,11475633,d98562dfed985148d0f5618bf591dffe62552fe009f859beda94bad19c34be67,27,13,13,False,TP_k02_03/TP_k02_03_01_ET_T10_meta.txt,197,,SIE,,197,TP_k02_03,2,SIE,k,2,3,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.318
47627656,TP_k01_03.zip,10699512,5651d4b05dd2f480d9da8ac0b5604805ecb24d3c790ab2a5370e363d282555c5,27,13,13,False,TP_k01_03/TP_k01_03_01_ET_T10_meta.txt,012,,SIE,,012,TP_k01_03,2,SIE,k,1,3,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,5.759
47628238,TP_k05_02.zip,15315268,104fb479ec51185c1b5e25a4aa4ada1d835ddce545147c90ff7a9b353ffa31e7,23,11,11,False,TP_k05_02/TP_k05_02_01_ET_T10_meta.txt,INT005,,INT,,INT005,TP_k05_02,1,INT,k,5,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.719
47628241,TP_k01_04.zip,12449058,8635faa9dab936109aff5968330518293964e734ae9af6157cfc72fc76a7c65b,13,6,6,False,TP_k01_04/TP_k01_04_01_ET_T10_meta.txt,070,,SIE,,070,TP_k01_04,2,SIE,k,1,4,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.868
47628244,TP_k05_03.zip,15319650,1a52c235c1af92d5efffd585b3579c91be7ef0e4a7be4af562f3cb2d9cf92ecc,23,11,11,False,TP_k05_03/TP_k05_03_01_ET_T10_meta.txt,INT006,,INT,,INT006,TP_k05_03,1,INT,k,5,3,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.771
47628247,TP_k04_03.zip,15463612,8c512a175cc4b125b3793dd9be2e9064e70a1b6063a683e3a75be1954579ed1d,23,11,11,False,TP_k04_03/TP_k04_03_01_ET_T10_meta.txt,INT003,,INT,,INT003,TP_k04_03,1,INT,k,4,3,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,47.625
47628253,TP_k04_02.zip,15480978,726ded133b132e73dde5bfa1d7bd6158c981755eadf45394057657673168fe44,23,11,11,False,TP_k04_02/TP_k04_02_01_ET_T10_meta.txt,INT002,,INT,,INT002,TP_k04_02,1,INT,k,4,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.653
47628256,TP_k05_01.zip,15497903,ac7ddb34c2f5934e63918e69b4cf73d379296da8404f42b870c075cccddfa9a0,23,11,11,False,TP_k05_01/TP_k05_01_01_ET_T10_meta.txt,INT004,,INT,,INT004,TP_k05_01,1,INT,k,5,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,17.898
47628259,TP_k02_04.zip,12358179,f162c2004c674967d5982a7e0f1bed88579cf8b8333ab6059009624e6dfaeb56,13,6,6,False,TP_k02_04/TP_k02_04_01_ET_T10_meta.txt,145,,SIE,,145,TP_k02_04,2,SIE,k,2,4,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,33.852
47628262,TP_k06_02.zip,15437071,7278e98b9c8c1d7ac7e258cd7e1eab9e0570d982f55bae55a28394ff5c2328e2,23,11,11,False,TP_k06_02/TP_k06_02_01_ET_T10_meta.txt,INT008,,INT,,INT008,TP_k06_02,1,INT,k,6,2,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.371
47628265,TP_k02_06.zip,12463517,29fd286a79f24ee5fc5f929d8d574c75314a0820983f1daae9b3b6cbeaacfeed,13,6,6,False,TP_k02_06/TP_k02_06_01_ET_T10_meta.txt,095,,SIE,,095,TP_k02_06,2,SIE,k,2,6,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.054
47628271,TP_k06_01.zip,15517301,ae34b22b8c213108f1aff5361d4f640fb434229aafbfdae8ac940c1b321b8a03,23,11,11,False,TP_k06_01/TP_k06_01_01_ET_T10_meta.txt,INT007,,INT,,INT007,TP_k06_01,1,INT,k,6,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.52
47628274,TP_k06_03.zip,15502042,e86f87453b8c520de6575f8342699a6fbe73397b8c350e2666774b618b078e98,23,11,11,False,TP_k06_03/TP_k06_03_01_ET_T10_meta.txt,INT009,,INT,,INT009,TP_k06_03,1,INT,k,6,3,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,3.884
47628277,TP_k04_01.zip,15905122,e92957456ff6c62777816596505a6c4b5dae7a8ec80f5f88bd96f8cd523fa656,23,11,11,False,TP_k04_01/TP_k04_01_01_ET_T10_meta.txt,INT001,,INT,,INT001,TP_k04_01,1,INT,k,4,1,FF,exact-archive-serial-plus-internal-serial,,,mapped-metadata-only,,2.942
