source_row_id,material_key,UTS_MPa,YS_MPa,dataset_label,log_ys,log_uts,uts_ys_ratio
1084,Co:0.100069979|Cr:0.1501049685|Fe:0.3498950315|Mn:0.0500349895|Ni:0.2498250525|V:0.100069979,690.0,350.0,borg,2.5440680443502757,2.838849090737255,1.9714285714285715
1085,Co:0.100069979|Cr:0.1501049685|Fe:0.3498950315|Mn:0.0500349895|Ni:0.2498250525|V:0.100069979,660.0,312.0,borg,2.494154594018443,2.8195439355418688,2.1153846153846154
1086,Co:0.100069979|Cr:0.1501049685|Fe:0.3498950315|Mn:0.0500349895|Ni:0.2498250525|V:0.100069979,610.0,240.0,borg,2.380211241711606,2.785329835010767,2.5416666666666665
1087,Co:0.100069979|Cr:0.1501049685|Fe:0.3498950315|Mn:0.0500349895|Ni:0.2498250525|V:0.100069979,593.0,210.0,borg,2.322219294733919,2.7730546933642626,2.823809523809524
109,Al:0.09090909091|Co:0.1818181818|Cr:0.1818181818|Cu:0.09090909091|Fe:0.1818181818|Ni:0.1818181818|Ti:0.09090909091,2389.0,1580.0,borg,3.1986570869544226,3.378216149749878,1.5120253164556963
11,Co:0.3333333333|Cr:0.3333333333|Ni:0.3333333333,860.0,300.0,borg,2.4771212547196626,2.934498451243568,2.8666666666666667
110,Al:0.1363636364|Co:0.1818181818|Cr:0.1818181818|Cu:0.04545454545|Fe:0.1818181818|Ni:0.1818181818|Ti:0.09090909091,2697.0,1900.0,borg,3.278753600952829,3.4308809464528913,1.4194736842105262
111,Co:0.1818181818|Cr:0.1818181818|Cu:0.1818181818|Fe:0.1818181818|Ni:0.1818181818|Ti:0.09090909091,1650.0,700.0,borg,2.845098040014257,3.2174839442139063,2.357142857142857
112,Al:0.1666666667|Co:0.1666666667|Cr:0.1666666667|Fe:0.1666666667|Ni:0.1666666667|Ti:0.1666666667,2580.0,1860.0,borg,3.2695129442179165,3.41161970596323,1.3870967741935485
113,Al:0.1818181818|Co:0.1818181818|Cr:0.1818181818|Fe:0.1818181818|Ni:0.1818181818|Ti:0.09090909091,3140.0,2260.0,borg,3.3541084391474008,3.496929648073215,1.3893805309734513
1135,Al:0.0625|Cr:0.2083333333|Cu:0.1041666667|Fe:0.2083333333|Ni:0.4166666667,169.0,62.0,borg,1.792391689498254,2.2278867046136734,2.725806451612903
1136,Al:0.0625|Cr:0.2083333333|Cu:0.1041666667|Fe:0.2083333333|Ni:0.4166666667,642.0,350.0,borg,2.5440680443502757,2.807535028068853,1.8342857142857143
1137,Al:0.0625|Cr:0.2083333333|Cu:0.1041666667|Fe:0.2083333333|Ni:0.4166666667,904.0,535.0,borg,2.7283537820212285,2.9561684304753633,1.6897196261682244
1138,Al:0.0625|Cr:0.2083333333|Cu:0.1041666667|Fe:0.2083333333|Ni:0.4166666667,584.0,255.0,borg,2.406540180433955,2.7664128471123997,2.2901960784313724
114,Al:0.1538638985|Co:0.1538638985|Cr:0.1538638985|Fe:0.1538638985|Ni:0.1538638985|Ti:0.2306805075,2720.0,2220.0,borg,3.346352974450639,3.4345689040341987,1.2252252252252251
1181,Co:0.2325581395|Cr:0.2325581395|Fe:0.2325581395|Ni:0.2325581395|Ti:0.06976744186,772.0,540.0,borg,2.7323937598229686,2.887617300335736,1.4296296296296296
1184,Co:0.116149285|Cr:0.2326473666|Fe:0.2326473666|Ni:0.3487966516|Ti:0.06975933031,875.0,586.0,borg,2.767897616018091,2.942008053022313,1.493174061433447
1185,Cr:0.2325581395|Fe:0.2325581395|Ni:0.4651162791|Ti:0.06976744186,982.0,672.0,borg,2.8273692730538253,2.9921114877869495,1.4613095238095237
12,Co:0.25|Fe:0.25|Mn:0.25|Ni:0.25,550.0,170.0,borg,2.230448921378274,2.7403626894942437,3.235294117647059
1243,Cr:0.2|Cu:0.2|Fe:0.2|Mn:0.2|Ni:0.2,1300.0,1190.0,borg,3.0755469613925306,3.113943352306837,1.0924369747899159
1244,Cr:0.2|Cu:0.2|Fe:0.2|Mn:0.2|Ni:0.2,1270.0,1170.0,borg,3.0681858617461617,3.103803720955957,1.0854700854700854
