composition_key,experimental_prediction,experimental_ensemble_sd,experimental_distance,hse_prediction_calibrated,hse_ensemble_sd,hse_distance,hse_contract_eligible,contract_fusion_prediction,retrieval_routed_prediction,exact_lookup_available,exact_lookup_sources,exact_lookup_dois
Br:0.00250000|C:0.08333333|Cu:0.00250000|H:0.50000000|I:0.24750000|N:0.08333333|Pb:0.08083333,1.9481626666666678,0.0457915996450837,2.1494632741021737,2.5747831107692276,0.02272891906020748,2.4125624946903135,False,1.9481626666666678,1.9481626666666678,False,0,0
Br:0.00250000|C:0.08333333|H:0.42500000|I:0.24750000|N:0.15833333|Pb:0.08333333,1.664005583333335,0.03554171774186575,1.7958232089083273,2.6186302428019936,0.03421799987689451,1.6225435102070478,False,1.664005583333335,1.664005583333335,False,0,0
Br:0.00250000|C:0.08333333|H:0.42916667|I:0.24750000|N:0.15416667|Pb:0.08333333,1.6685864166666682,0.03120733501846156,1.818254603995996,2.613753635728981,0.035146086326365046,1.6172508618583943,False,1.6685864166666682,1.6685864166666682,False,0,0
Br:0.00250000|C:0.08333333|H:0.43083333|I:0.24750000|N:0.15250000|Pb:0.08333333,1.6748080277777795,0.03306912775152888,1.8272995638802088,2.6125050941274015,0.035257037204833405,1.615297431939637,False,1.6748080277777795,1.6748080277777795,False,0,0
Br:0.00250000|C:0.08333333|H:0.50000000|I:0.24750000|N:0.08333333|Pb:0.08333333,1.9643098888888901,0.04137784459683729,2.0753952521471577,2.5703517645710465,0.02929015271781935,1.6198899997169467,False,1.9643098888888901,1.9643098888888901,False,0,0
Br:0.00251256|C:0.08375209|H:0.42713568|I:0.24371859|N:0.15912898|Pb:0.08375209,1.6639013611111124,0.040282321858662117,1.9515073709454855,2.619988978713844,0.03184115939431921,1.6275689079615914,False,1.6639013611111124,1.6639013611111124,False,0,0
Br:0.00251467|C:0.08298407|Cs:0.00083822|H:0.49790444|I:0.24895222|N:0.08298407|Pb:0.08382230,1.9457731666666678,0.03932424809230006,2.305919228727139,2.5650069860467406,0.035725895658533534,2.3477429247979407,False,1.9457731666666678,1.9457731666666678,False,0,0
Br:0.00254453|C:0.08227311|Cs:0.00254453|H:0.43426633|I:0.25190840|N:0.14164546|Pb:0.04240882|Sn:0.04240882,1.5883850833333344,0.025986448298000762,2.7169809703702987,2.621236647845391,0.026295924115114003,1.7180760205029202,False,1.5883850833333344,1.5883850833333344,False,0,0
Br:0.00255754|C:0.08525149|H:0.51150895|I:0.23017903|N:0.08525149|Pb:0.08525149,1.9272143611111126,0.03649112361727347,1.5974041016407419,2.5797126485367436,0.02621308431799363,1.5070480962716384,False,1.9272143611111126,1.9272143611111126,False,0,0
Br:0.00257511|C:0.08154506|Cs:0.00429185|H:0.40858369|I:0.25493562|N:0.16223176|Pb:0.08583691,1.6430150833333355,0.02793694852895658,1.3772910678412034,2.6436672265137977,0.023156584556185543,2.509153626922443,False,1.6430150833333355,1.6430150833333355,False,0,0
Br:0.00257511|C:0.08154506|Cs:0.00429185|H:0.41630901|I:0.25493562|N:0.15450644|Pb:0.08583691,1.6474605277777798,0.02989103519735896,1.408546225064497,2.646470975556948,0.03404926627148334,2.490058796289538,False,1.6474605277777798,1.6474605277777798,False,0,0
Br:0.00257511|C:0.08154506|Cs:0.00429185|H:0.42145923|I:0.25493562|N:0.14935622|Pb:0.08583691,1.6483538055555573,0.028438880199446365,1.4303126848110126,2.642673672347603,0.03638220596947792,2.477999852549088,False,1.6483538055555575,1.6483538055555575,False,0,0
