repetition,comparator,relative_log_rmse_gain,spearman_gain,raw_r2_gain
10,LiBOB_wrong_salt_control,0.25322400184380744,0.11640719818120049,0.2586745450358615
10,LiBF4_fluorinated_control,0.4269229919729771,0.1338061703961878,0.7675182113032445
11,state_only,0.3202456867448118,0.18735540850191335,0.24017482974326498
11,chemistry_permuted,0.3046294935984666,0.1599792008901798,0.19977301947492088
11,without_LiPF6,0.167928282549213,0.0389590621583884,0.29075023793336074
11,LiPF6_only,0.29526548431934374,0.06304670653094235,-0.030131309591833744
11,LiBOB_wrong_salt_control,0.3030309103320843,0.12455415559498717,0.35287411038942873
11,LiBF4_fluorinated_control,0.3946556093125252,0.14237468761299632,0.6873259628587601
12,state_only,0.2825782421051519,0.16532172149935576,0.26198157791188015
12,chemistry_permuted,0.26242265503631346,0.127855313329018,0.16198152737223037
12,without_LiPF6,0.13829734179177944,0.04212512284547454,0.2626562337315178
12,LiPF6_only,0.30176883003849675,0.04637258522393917,-0.016741054293418323
12,LiBOB_wrong_salt_control,0.36142656089479297,0.1475327663561956,0.7294869997756099
12,LiBF4_fluorinated_control,0.37499305751186596,0.13284654024948983,0.6725704221000619
13,state_only,0.32599645684400924,0.17046761445238567,0.18653025530000777
13,chemistry_permuted,0.3076802938028994,0.14279967615513467,0.15401983805979835
13,without_LiPF6,0.17166618633252229,0.019939146464133528,0.27671480816402083
13,LiPF6_only,0.32130765127528194,0.05483046614456599,-0.0583072346831055
13,LiBOB_wrong_salt_control,0.32504373419566057,0.13852592625246574,0.27659398143844505
13,LiBF4_fluorinated_control,0.4323042331287944,0.1356068510610764,0.7085520523577585
14,state_only,0.25149413255527164,0.16124310370031714,0.2216442500313449
14,chemistry_permuted,0.2428137644489783,0.13880415529807633,0.18573551009193556
14,without_LiPF6,0.1795414272653033,0.04794032052339514,0.24140640297424165
14,LiPF6_only,0.24385195224556777,0.05675441791027258,-0.03708513888662812
14,LiBOB_wrong_salt_control,0.3205731244331258,0.11735929638513654,0.29598016433743224
14,LiBF4_fluorinated_control,0.3675999235382912,0.12748641310091346,0.6898423383017966
15,state_only,0.27061303601377873,0.15723102653168097,0.19109902678107582
15,chemistry_permuted,0.2576181335037021,0.13252211185834994,0.15556158715700108
15,without_LiPF6,0.1424472099717512,0.03429464700935969,0.2762409283404509
15,LiPF6_only,0.29575419634174294,0.050330539610772385,-0.05570116686330917
15,LiBOB_wrong_salt_control,0.28657689300295397,0.10054586058384807,0.2493409817287353
15,LiBF4_fluorinated_control,0.3883216573105793,0.12321285294825424,0.6787573766383841
16,state_only,0.2883907967311332,0.1695877830132062,0.23862023624686923
16,chemistry_permuted,0.2660974385231847,0.1308363845091408,0.16102815321873576
16,without_LiPF6,0.14359824754507455,0.040631596049883756,0.22047283148820818
16,LiPF6_only,0.2855217631820306,0.056567481033896305,-0.0052285354112048266
16,LiBOB_wrong_salt_control,0.31880250543916266,0.12444538420134976,0.4762679042375373
16,LiBF4_fluorinated_control,0.38218858933517186,0.13248127601923554,0.7100361483647039
17,state_only,0.2826323316211552,0.15607879520611068,0.18520960279672838
17,chemistry_permuted,0.2670188703709724,0.12283639694810033,0.11993752949149594
17,without_LiPF6,0.13292009916393233,0.032305499153410855,0.285815436493538
17,LiPF6_only,0.2886941114976578,0.031054415075809305,-0.08149627058559183
17,LiBOB_wrong_salt_control,0.26181855904513873,0.09323603054436813,0.355418218601109
17,LiBF4_fluorinated_control,0.40610238417776245,0.11698512471231715,0.7353250167802914
18,state_only,0.23875094944277864,0.13918429112065556,0.21450668572905496
18,chemistry_permuted,0.21368408662040095,0.10417127586229114,0.1323309752921744
18,without_LiPF6,0.15912543002940382,0.04825046317176629,0.24894934744928432
18,LiPF6_only,0.21349506308550448,0.03858686455643112,-0.015084424018909859
18,LiBOB_wrong_salt_control,0.29825189383527273,0.0925305084906729,0.39520935051574946
18,LiBF4_fluorinated_control,0.31602233159025717,0.10521000309773543,0.6448488092714846
19,state_only,0.26352798159633073,0.1495538727625464,0.18233363385382473
19,chemistry_permuted,0.24950528348304601,0.12656916542244712,0.13083604439188268
19,without_LiPF6,0.1397536230501395,0.04052286250512682,0.25670637940925967
19,LiPF6_only,0.288118263076505,0.05924865185554107,-0.028058983731879206
19,LiBOB_wrong_salt_control,0.2884637325394239,0.0960810716061159,0.4070535608795264
19,LiBF4_fluorinated_control,0.3703540486953737,0.14687124728113776,0.6855630180402115
20,state_only,0.2399691256481441,0.15726975997933135,0.1824834094359531
20,chemistry_permuted,0.23672721797569707,0.1380238298352271,0.14322340996151706
20,without_LiPF6,0.15221295457465267,0.05649264580464686,0.31826287249334073
20,LiPF6_only,0.2896276876306938,0.06582808191519007,-0.03752577561973547
20,LiBOB_wrong_salt_control,0.25460583818563687,0.12141297573465792,0.38968499381432364
20,LiBF4_fluorinated_control,0.38009926991452514,0.15720812458612643,0.7268752361118431
21,state_only,0.2357486447762418,0.15978220021876166,0.21429636459064139
21,chemistry_permuted,0.21974717481646,0.12571872119072236,0.15341646756217997
21,without_LiPF6,0.16594268099873588,0.05460784695503362,0.23974099825383433
21,LiPF6_only,0.25845311886325073,0.05271668623246484,-0.035281185869610154
21,LiBOB_wrong_salt_control,0.2779824090255387,0.09756042321605685,0.2708129952201477
21,LiBF4_fluorinated_control,0.37969860972892433,0.13051164624527423,0.698771212944268
22,state_only,0.2512205820474911,0.1362388449136278,0.18740549024003628
22,chemistry_permuted,0.24273778115834155,0.11339889794539204,0.14617718489431797
