repeat,anchor_budget,macro_rmse_neighbor_delta,macro_rmse_neighbor_absolute,relative_gain_vs_neighbor_absolute
32,3,0.4503278157477352,0.4709097355659957,0.04370671970398454
33,1,0.5252003225162599,0.588684571156212,0.10784085697246182
33,2,0.41503851889651794,0.4336000856499679,0.042808032949592456
33,3,0.48070933907884617,0.5153090285274913,0.06714357314389507
34,1,0.48230616674552995,0.5029212345133328,0.04099064893879789
34,2,0.4453058343717904,0.4621404193883408,0.03642742402586541
34,3,0.4125638032240046,0.4295755987433829,0.03960140093883846
35,1,0.6129723036399226,0.6749684637412918,0.09185045440157291
35,2,0.44971514850997313,0.49029322400400654,0.08276287231271595
35,3,0.4382667665092517,0.4652118702946934,0.05792006934039107
36,1,0.41754815751018237,0.446700821873343,0.06526216862754397
36,2,0.41662140949700627,0.44411602118761967,0.061908623825570386
36,3,0.41185806755016324,0.439021967588241,0.06187366930019966
37,1,0.47485036325093266,0.506022796303935,0.06160282358955049
37,2,0.47127288202939116,0.49616772562313344,0.050174250174126134
37,3,0.39469883386813076,0.42447533900071677,0.07014896366579193
38,1,0.4170205749380949,0.4530235519454384,0.07947263856974851
38,2,0.40341656358824135,0.4318160549799615,0.06576756714855825
38,3,0.4260284882865842,0.4684185796154582,0.09049617836182666
39,1,0.6070490843073478,0.664951180952175,0.0870772145436518
39,2,0.4568718218644772,0.49073342144816473,0.06900202452843174
39,3,0.41912491268159807,0.44706106814648017,0.06248845505761813
40,1,0.4496487253442487,0.4866600193742427,0.07605164294692601
40,2,0.4814026840668507,0.5075842715029244,0.05158076974795078
40,3,0.4087717594260742,0.44333079227818073,0.07795315248578871
41,1,0.49740795811311167,0.558754740452318,0.10979196756262943
41,2,0.49484126197035644,0.5163778683856153,0.0417070671184846
41,3,0.42167728442291463,0.4525742216947983,0.06826932642380934
42,1,0.5243139442604784,0.5499788309380333,0.04666522643022719
42,2,0.442569275343832,0.47096107720251096,0.06028481594981283
42,3,0.35307659077075476,0.37863568856230573,0.06750313972937905
43,1,0.4026377227136598,0.4288516785664985,0.061125925729060504
43,2,0.41982347424326194,0.4577819815955051,0.0829183080119199
43,3,0.4405758524776208,0.4584745712115548,0.039039719665662664
44,1,0.4106534573163645,0.4561671680382718,0.09977419224982176
44,2,0.4635065118204528,0.4994463589965031,0.07195937367180183
44,3,0.41741374962647765,0.43513282809438736,0.040721079458675424
45,1,0.47684775519972944,0.4920798844331617,0.030954586267996964
45,2,0.3958392653758694,0.4244419454113921,0.0673889099433832
45,3,0.4179377495399295,0.4405332586790736,0.05129126733108891
46,1,0.5131502593136341,0.5211855605404466,0.015417351966697357
46,2,0.4277130747020376,0.45172882307299883,0.05316408239701875
46,3,0.41593561044150656,0.45620851715608174,0.0882774108770018
47,1,0.47752392161926466,0.5155550852847945,0.07376741060467151
47,2,0.46782258975774904,0.48509366789164476,0.035603594268630134
47,3,0.3702721759510558,0.40283210656440627,0.08082754597452779
48,1,0.4427416233084375,0.49158479054807125,0.09935858101951878
48,2,0.45240306982756645,0.48984486294114943,0.07643602280275685
48,3,0.4003030802135365,0.4276630664323769,0.06397556479936672
49,1,0.5802835571871596,0.6033339903245598,0.038205096193901444
49,2,0.4352271217457069,0.4717417531681056,0.07740385746475731
49,3,0.3981308514666751,0.4256960294715111,0.06475319499469456
50,1,0.4386196938431244,0.46645793607316394,0.05968006989953567
50,2,0.44509455856880326,0.48799905722906706,0.08791922448351042
50,3,0.4356811830285252,0.464272521174289,0.061583093639587916
51,1,0.5539998614358019,0.626624599776325,0.1158983199294229
51,2,0.37348811747006144,0.40584356362954355,0.07972393567147062
51,3,0.40428828645957054,0.42871762467042457,0.056982351097961015
52,1,0.7994407725810713,0.8073546566135804,0.009802239904955323
52,2,0.40253313461661144,0.42872656259840836,0.06109588317328618
52,3,0.4180037546517822,0.44827123627685916,0.06752046345080087
53,1,0.43366027754495934,0.4692596370362581,0.07586282024198077
53,2,0.43316528928116677,0.45077124610767744,0.039057408782247505
53,3,0.4460672388142418,0.4454316447814153,-0.0014269171045053763
54,1,0.42500908988618025,0.46086222118720066,0.07779576986948777
54,2,0.47581065874235856,0.48408068016717004,0.017083973320223267
54,3,0.44091289915443804,0.4592286572630668,0.03988374379288062
55,1,0.5720020879549925,0.5955634781409196,0.0395615094791828
55,2,0.4570639460665991,0.49185079370678103,0.0707264237148314
55,3,0.4276858550026503,0.46310603061063876,0.07648394377694545
56,1,0.5531334387163067,0.6360993178691405,0.13042912768836157
56,2,0.43604026740518304,0.45794339773013293,0.04782933968153302
56,3,0.45662315899725664,0.47643322765444757,0.04157994763446471
57,1,0.4019643061614895,0.43775967145550965,0.08176944480747605
57,2,0.3622081078974767,0.40580846326828524,0.10744072467011057
57,3,0.41680423200751643,0.4538859294656975,0.08169827494285331
58,1,0.46553500959597227,0.4960376385328974,0.06149256944924786
58,2,0.5252481663438698,0.5602688020215755,0.06250684591278921
58,3,0.422292816489456,0.4476609916830494,0.056668272788785834
59,1,0.4495009782084839,0.4668171925133515,0.03709420857367496
59,2,0.3963650961397354,0.41923321240427536,0.05454748237476881
59,3,0.39958756323797023,0.4394848287359709,0.09078189482160648
60,1,0.48131886211563485,0.48839667125953634,0.014491927485190237
60,2,0.45621605025191686,0.49047178460675256,0.06984241587373075
60,3,0.4225948188735005,0.4561128404117247,0.07348624850808427
61,1,0.547083111424283,0.5660527831745602,0.033512195883731444
61,2,0.47939598551660456,0.5231114898673155,0.08356823583018436
61,3,0.41278860959192687,0.4469920187329114,0.07651906008957599
62,1,0.4887432691700491,0.5278218080473379,0.07403737072149175
62,2,0.4299865863241802,0.462734228005581,0.07076987112569044
62,3,0.40975566239203354,0.440318830417567,0.06941144896426421
63,1,0.4743443409229546,0.500571803647606,0.052395006138050704
63,2,0.42706551251408437,0.4535300952925798,0.05835242920631911
63,3,0.4474156724732426,0.4527334917960175,0.01174602590517182
64,1,0.4924731477989242,0.5093426275045615,0.03312010186205394
64,2,0.4158956308521798,0.44485973716487787,0.06510840135204943
64,3,0.43210615074175956,0.4614023047801272,0.06349373146787418
65,1,0.4525496370216191,0.5031185711000539,0.10051096696324946
65,2,0.5129971170402965,0.5624344579458668,0.08789884795843805
65,3,0.42111416208624775,0.44016812292660784,0.043287916248167524
66,1,0.44762165666366727,0.4802023719697036,0.06784788499147998
66,2,0.45181184065901225,0.4917062878069172,0.08113471016577822
66,3,0.4302275472817721,0.45192801392553344,0.04801752928584124
67,1,0.4451231225754736,0.47488316968252264,0.0626681445184607
67,2,0.4473983268227613,0.47991532148307975,0.06775569189962793
67,3,0.43218493512199657,0.4674820933165511,0.07550483472883185
68,1,0.5023760100935393,0.5218100144638668,0.03724344844223615
68,2,0.4309012052237831,0.4670672134731198,0.07743212798090804
68,3,0.40622891858250426,0.44086019885088545,0.07855388252023798
69,1,0.41800148922135205,0.4591647145544791,0.08964805880841065
69,2,0.4267020620182078,0.4600075483089233,0.07240204299506148
69,3,0.41938653168017503,0.4499995584680559,0.06802901516636484
70,1,0.5314126406342492,0.5553106319673032,0.04303535707283401
70,2,0.4249253574465203,0.44837796173602695,0.052305434902962133
70,3,0.4111573597978756,0.43604382364052424,0.0570733089047607
71,1,0.48225039771693423,0.4977337095303031,0.031107621438740907
71,2,0.40744817827997504,0.44842421040951136,0.09137783192418636
71,3,0.4103140788923652,0.439584209628503,0.06658594666281181
72,1,0.53013352563527,0.5411941832723673,0.0204375028020779
72,2,0.43208138791457834,0.456542220279869,0.05357846717943349
72,3,0.47527717227422756,0.518118233300441,0.0826858779960582
73,1,0.44526432311039854,0.48416850355110397,0.08035256352977349
73,2,0.4329420659970102,0.458674143651997,0.05610099895779197
73,3,0.48252249183127405,0.5085165430421204,0.05111741509005974
74,1,0.4843705260493005,0.541418949138484,0.1053683532502141
74,2,0.4064060980981363,0.4300425310926153,0.05496301245931545
74,3,0.4497198986631966,0.46928625004992097,0.04169385185405061
75,1,0.43610001040950336,0.47074799822810776,0.07360198651724315
75,2,0.5014111307746338,0.5320177566048655,0.057529331399672645
75,3,0.43997069924228166,0.4759586156381749,0.07561144018296606
76,1,0.5089852970925579,0.5458556304488442,0.0675459431021509
76,2,0.40333075243983346,0.430908132548986,0.0639982818287087
76,3,0.4055938401943543,0.42484550176495256,0.045314500190352325
77,1,0.44050434564594637,0.46895326987188446,0.060664731549286754
77,2,0.40230322920783634,0.4281300945132527,0.06032480696032194
77,3,0.3742409539362043,0.39332839459811964,0.048528000836089547
78,1,0.43020338544166314,0.46261792711191724,0.07006762983141446
78,2,0.4489024342963063,0.4736683998614495,0.052285450269402345
78,3,0.4313078730328835,0.463362934792255,0.06917916680958336
79,1,0.4391650812982329,0.47084027604562767,0.06727375791514745
79,2,0.4518059350752736,0.4720665511312161,0.042918982519290605
79,3,0.38736252587789244,0.3950490317425412,0.019457093289772076
80,1,0.4967014829558879,0.5177470272973053,0.04064831516518275
80,2,0.44264674312619723,0.47288929679733177,0.06395271340661302
80,3,0.42587968819211225,0.47059066074570255,0.09501032698511458
81,1,0.5255288307048093,0.5459114400244551,0.03733684225179967
81,2,0.44527511373580286,0.4853220479927908,0.0825162063471363
81,3,0.44987832116736287,0.4872202029648333,0.07664272041725195
82,1,0.4787975656618372,0.5263482211042781,0.09034067853916128
82,2,0.45247853561962403,0.4731899003433387,0.04376966775640567
82,3,0.4379543130453104,0.4750720373316456,0.07813072833083523
83,1,0.46669505613898193,0.5133995142549104,0.09097098228405998
83,2,0.5379947257016265,0.562452497067648,0.04348415465045008
83,3,0.33227283133124963,0.3398474848719935,0.022288390757392085
84,1,0.511873416337083,0.5265778277323782,0.027924478815633536
84,2,0.4867904921514088,0.5093249554022252,0.044243783878644694
84,3,0.3512404960278404,0.3848043217865935,0.08722309978983833
85,1,0.5585875699509476,0.5875617839324637,0.049312625112538866
85,2,0.5067449020218018,0.5513752763477087,0.0809437351299771
85,3,0.4595836626674515,0.47731605318138753,0.03715020769937827
86,1,0.5202786613004148,0.5883411041047443,0.11568534363734018
86,2,0.4468938617682659,0.48214153338127286,0.07310648258368035
86,3,0.4112990653376151,0.44888481237430217,0.08373138498022115
