scope,seed,policy,auc20,first_hit,recall20,recall40,regret20
hard_ood_40pct,11,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,11,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,12,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,12,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,13,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,13,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,14,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,14,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,15,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,15,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,16,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,16,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,17,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,17,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,18,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,18,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,19,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,19,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,20,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,20,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,21,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,21,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,22,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,22,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,23,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,23,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,24,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,24,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,25,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,25,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,26,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,26,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,27,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,27,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,28,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,28,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,29,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,29,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,30,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,30,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,31,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,31,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
