budget,repeat,method,scope,evaluation_rows,rmse,mae,r2,spearman,selected_alpha,selected_correction_weight,mean_absolute_correction,active_training_rows,inner_hurdle_fallback_folds,training_scaffolds,insufficient_scaffold_abstention,target_only_rmse,relative_rmse_gain
30,6,target_only_direct_regression,dynamic_hard_ood_40pct,215,0.619695809168028,0.3071616118350168,0.07449505716817562,0.1860856564460688,,,,15,0,8,False,0.6088227834443147,-0.01785909794998298
30,6,scalar_optical_residual,full_scaffold_separated_evaluation,537,0.5788295095401707,0.3446970458664621,0.11370780186919283,0.3354439254583249,10.0,0.75,0.08150216934429039,15,0,8,False,0.5699964516401047,-0.015496689277011727
30,6,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,537,0.5695479186106408,0.3299969320846566,0.14190348815162357,0.3999910862751236,1000.0,0.1,0.009347315532500835,15,0,8,False,0.5699964516401047,0.0007869049503260906
30,6,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,537,0.6032282074624328,0.3756520273511233,0.03741546265202467,0.3538570708214952,100.0,0.5,0.11197003467553339,15,0,8,False,0.5699964516401047,-0.058301688943338495
30,6,state_blind_pretrained_residual,full_scaffold_separated_evaluation,537,0.5784083623314978,0.3484343565451528,0.1149970370941028,0.38293449656325823,0.1,0.1,0.04861218200865521,15,0,8,False,0.5699964516401047,-0.014757829925412247
30,6,target_only_direct_regression,full_scaffold_separated_evaluation,537,0.5775157793850237,0.3171512423099429,0.1177263511863067,0.3883039742320732,,,,15,0,8,False,0.5699964516401047,-0.013191885183290111
30,7,scalar_optical_residual,dynamic_hard_ood_40pct,217,0.5614697240754,0.3827553545780621,-0.33010413400315053,0.11281484381411336,0.1,0.1,0.031136160095096586,17,0,23,False,0.5503755293441576,-0.02015749999725196
30,7,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,217,0.5920875013877376,0.41917115893815193,-0.47912454650896397,0.12921022713086658,1000.0,0.1,0.05114193722001271,17,0,23,False,0.5503755293441576,-0.07578820245385025
30,7,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,217,1.1461649782042487,0.6930722775469246,-4.542774697565055,0.18664758767488565,100.0,1.0,0.3377734117089439,17,0,23,False,0.5503755293441576,-1.0825144235065283
30,7,state_blind_pretrained_residual,dynamic_hard_ood_40pct,217,0.6051145644659145,0.4395512092569403,-0.5449277339659322,0.18980855275988817,100.0,0.25,0.07408659337424256,17,0,23,False,0.5503755293441576,-0.09945761067354403
