repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
17,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.86945441065994,4.7587167209940535,0.022741293033458874,-0.37001763299877943,3.64599290633012,-0.3058508051751652,44
18,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.108684611595514,4.0451072822245715,0.015473888940395867,0.010065317885044944,3.1864906013349636,0.3088770357644373,44
19,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.743118204438339,3.8342446690278233,-0.024345067297482776,0.1105816275484428,2.63598428291297,0.30414355877536653,44
20,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.992826570063284,4.932627306068561,0.0120571510245668,-0.47198389018422193,4.003900718304794,-0.02782093264579195,44
21,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.315980520103192,4.3011258672833295,0.003441779394200693,-0.11920786947674733,3.1564860447280085,0.030732275973817526,44
22,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.9115140541077893,3.9907740117985733,-0.020263242466826075,0.03648002569489239,2.838525088397872,0.3304956023115365,44
23,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.909665738879908,3.7232236211967105,0.04768748280169132,0.16134238652162636,3.217709963421656,0.3008225463909751,44
24,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.738267213382808,4.703689551295076,0.00729753315517334,-0.3385165693795287,3.2692697856989663,-0.19399718723549322,44
25,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,5.220189205453281,4.976423184934452,0.04669677878038936,-0.4982388730188769,4.34931186812808,0.06835193604346855,44
26,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.961464261854764,3.9073540517031735,0.013659143835430177,0.07634032913674149,3.4038622050790015,0.3738879146179401,44
27,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.7346502695361283,3.7943167962860116,-0.015976469667478208,0.1290090789253695,3.018109788272603,0.36460526424400724,44
28,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,3.5025405833162857,3.445661282948212,0.016239440775935064,0.2817235667191126,2.8311418142010947,0.3902888488557099,44
29,15,15,extra-trees-primary,hard_ood_fixed,alloy_control,4.679599284996797,4.665706036561277,0.002968897033569412,-0.31698611594879855,4.278999051137806,0.34528562033738996,44
