anchor_budget,draw,model,comparator,relative_log_rmse_gain,spearman_gain,top_quartile_precision_gain,normalized_regret_reduction
3,14,programme_balanced_portfolio_adapted,target_only_ridge,0.16447553307463492,0.5066844919786098,0.5555555555555556,0.020910026613475827
3,14,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.4916248455286503,0.6666666666666666,0.020910026613475827
3,15,bamboo_all_frozen,target_only_ridge,0.29936466573288134,0.6280605019003386,0.6666666666666666,0.10720331591695453
3,15,bamboo_all_adapted,target_only_ridge,0.29979950518709575,0.6334085423635666,0.6666666666666666,0.10720331591695453
3,15,programme_balanced_portfolio_frozen,target_only_ridge,0.15960218535030046,0.6514581789269611,0.7777777777777778,0.10720331591695453
3,15,programme_balanced_portfolio_adapted,target_only_ridge,0.1681999133816664,0.643436118232119,0.7777777777777778,0.08793242585097313
3,15,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.625023720519181,0.7777777777777778,0.08793242585097313
3,16,bamboo_all_frozen,target_only_ridge,0.4617871981034415,1.1337845782043368,0.7777777777777778,0.11023842194502584
3,16,bamboo_all_adapted,target_only_ridge,0.4620822124279508,1.1337845782043368,0.7777777777777778,0.11023842194502584
3,16,programme_balanced_portfolio_frozen,target_only_ridge,0.35504159445232464,1.1551767400572488,0.8888888888888888,0.11023842194502584
3,16,programme_balanced_portfolio_adapted,target_only_ridge,0.36084365572763233,1.1431436490149856,0.7777777777777778,0.09096753187904444
3,16,programme_balanced_rank_consensus_frozen,target_only_ridge,,1.1276637132102418,0.8888888888888888,0.09096753187904444
3,17,bamboo_all_frozen,target_only_ridge,0.4617871981034415,1.1337845782043368,0.7777777777777778,0.11023842194502584
3,17,bamboo_all_adapted,target_only_ridge,0.4620822124279508,1.1337845782043368,0.7777777777777778,0.11023842194502584
3,17,programme_balanced_portfolio_frozen,target_only_ridge,0.35504159445232464,1.1551767400572488,0.8888888888888888,0.11023842194502584
3,17,programme_balanced_portfolio_adapted,target_only_ridge,0.36084365572763233,1.1431436490149856,0.7777777777777778,0.09096753187904444
3,17,programme_balanced_rank_consensus_frozen,target_only_ridge,,1.1276637132102418,0.8888888888888888,0.09096753187904444
3,18,bamboo_all_frozen,target_only_ridge,0.29959054929826034,0.5638840163416026,0.7777777777777777,0.2895043306298306
