edge_id,source_evaluated,learner_evaluated,repeat,pool,candidate_n,baseline_fraction_to_first_hit,augmented_fraction_to_first_hit,baseline_first_hit_rank,augmented_first_hit_rank,baseline_top10_recall_top5,augmented_top10_recall_top5,baseline_top10_enrichment,augmented_top10_enrichment,baseline_top10_regret,augmented_top10_regret,baseline_spearman_rho,augmented_spearman_rho,effect_fraction_to_first_hit,effect_top10_recall_top5,effect_top10_enrichment,effect_top10_regret_reduction,effect_spearman_rho,edge_role
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,19,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.14900612403626923,0.14900612403626923,-0.1666666666666667,-0.023809523809523815,0.0,0.0,0.0,0.0,0.1428571428571429,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,20,year1_to_year2,21,0.09523809523809523,0.09523809523809523,2.0,2.0,0.5,0.5,3.5,3.5,0.0,0.0,0.851948051948052,0.838961038961039,0.0,0.0,0.0,0.0,-0.012987012987012991,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,20,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.020080171307968797,0.14900612403626923,0.2380952380952381,0.19047619047619052,0.0,0.0,0.0,-0.12892595272830043,-0.04761904761904759,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,21,year1_to_year2,21,0.19047619047619047,0.14285714285714285,4.0,3.0,0.0,0.5,0.0,3.5,0.14810344330653047,0.0237927537807896,0.6116883116883116,0.6428571428571428,0.047619047619047616,0.5,3.5,0.12431068952574087,0.03116883116883118,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,21,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.14900612403626923,0.14900612403626923,-0.023809523809523815,-0.023809523809523815,0.0,0.0,0.0,0.0,0.0,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,22,year1_to_year2,21,0.23809523809523808,0.23809523809523808,5.0,5.0,0.0,0.0,0.0,0.0,0.056692341279244385,0.056692341279244385,0.7311688311688312,0.6909090909090909,0.0,0.0,0.0,0.0,-0.04025974025974033,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,22,years1_2_to_year3,8,0.375,0.75,3.0,6.0,0.0,0.0,0.0,0.0,0.16382916328419084,0.16382916328419084,0.3571428571428572,0.07142857142857144,-0.375,0.0,0.0,0.0,-0.28571428571428575,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,23,year1_to_year2,21,0.047619047619047616,0.047619047619047616,1.0,1.0,0.5,0.5,3.5,3.5,0.0,0.0,0.8012987012987013,0.8051948051948051,0.0,0.0,0.0,0.0,0.003896103896103842,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,23,years1_2_to_year3,8,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.14900612403626923,0.14900612403626923,0.14285714285714288,0.07142857142857144,0.0,0.0,0.0,0.0,-0.07142857142857144,named-edge
hard_ood_birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,24,year1_to_year2,21,0.14285714285714285,0.19047619047619047,3.0,4.0,0.5,0.0,3.5,0.0,0.0237927537807896,0.056692341279244385,0.7142857142857142,0.748051948051948,-0.047619047619047616,-0.5,-3.5,-0.032899587498454785,0.03376623376623378,named-edge
