target,source,stage,learner,repeats,train_n,test_n,test_groups,base_r2_mean,aug_r2_mean,delta_r2_mean,base_rmse_mean,aug_rmse_mean,relative_rmse_improvement_mean,relative_rmse_ci_lo,relative_rmse_ci_hi,fraction_repeats_positive,mse_improvement_mean,target_label,source_label,target_domain,source_domain,neighborhood,relation,rationale,source_group_cv_r2_mean,raw_source_target_evaluation_key_overlap,source_model_evaluation_key_overlap_after_exclusion,discovery_selected,target_equivalent_n,target_sample_fraction_saved,target_equivalence_status,permutation_p_raw,permutation_p_holm,learners_positive_of_three,edge_status,permutation_p_raw_refined,permutation_p_holm_refined,permutations,amendment,edge_status_refined
photo_z_pipi,photo_z_npi,confirmation,ridge-primary,100,20,16,4,-0.5509388256694087,-0.5291780085959739,0.0217608170734348,25.94309418848532,25.765913752818527,0.0066229823717397,0.004060164488548,0.0726440791244136,0.92,9.57985970381293,Photoswitch Z π-π* wavelength,Photoswitch Z n-π* wavelength,molecular photoswitch,molecular photoswitch,2,same-state-neighbor,same-isomer electronic transition,-0.9731151172748196,44,0,False,48.0,0.5833333333333334,right-censored-at-largest-learning-curve-budget,,,1,unresolved,,,,,unresolved
photo_z_pipi,photo_e_npi,confirmation,ridge-primary,100,20,16,4,-0.5509388256694087,-0.5726121691711121,-0.0216733435017032,25.94309418848532,26.125024914478228,-0.0070517563050991,-0.009055388018268,0.0069529846410461,0.1,-9.54135083063266,Photoswitch Z π-π* wavelength,Photoswitch E n-π* wavelength,molecular photoswitch,molecular photoswitch,2,same-domain,other-isomer electronic transition,-2.233173711312534,35,0,False,48.0,0.5833333333333334,right-censored-at-largest-learning-curve-budget,,,0,practically-equivalent,,,,,practically-equivalent
photo_z_pipi,pka_acid,confirmation,ridge-primary,100,20,16,4,-0.5509388256694087,-0.5530289760616824,-0.0020901503922738,25.94309418848532,25.9565391357103,-0.0003767770117531,-0.0043988248351277,0.0003226836812518,0.47,-0.92015605159867,Photoswitch Z π-π* wavelength,Molecular pKa,molecular photoswitch,aqueous molecular acid-base,0,distant-control,acid-base endpoint,0.2614225157137268,0,0,False,48.0,0.5833333333333334,right-censored-at-largest-learning-curve-budget,,,0,practically-equivalent,,,,,practically-equivalent
photo_z_pipi,solubility,confirmation,ridge-primary,100,20,16,4,-0.5509388256694087,-0.5388929060586558,0.0120459196107529,25.94309418848532,25.83762864657709,0.0042318146568444,-0.0246261565969675,0.0127379929360058,0.86,5.303027891140057,Photoswitch Z π-π* wavelength,Aqueous solubility,molecular photoswitch,aqueous molecular thermodynamics,0,distant-control,aqueous bulk endpoint,0.4076258236447208,0,0,False,48.0,0.5833333333333334,right-censored-at-largest-learning-curve-budget,,,1,unresolved,,,,,unresolved
polymer_tensile,polymer_young,confirmation,ridge-primary,100,15,16,14,-0.0513569964727352,-0.0141475060031539,0.0372094904695812,0.4065165262286651,0.4000560867096805,0.0138397895769363,0.0017125713466934,0.0367129051222456,0.8,0.0060210678403186,Polymer tensile strength,Polymer Young's modulus,polymer,polymer,3,physical-neighbor,paired mechanical response,-0.0170639455360029,32,0,False,17.625572830602934,0.1489638297624122,interpolated,,,1,unresolved,,,,,unresolved
polymer_tensile,polymer_hardness,confirmation,ridge-primary,100,15,16,14,-0.0513569964727352,-0.0528200462536678,-0.0014630497809326,0.4065165262286651,0.4068239078524076,-0.0008125021833869,-0.0037847775342131,0.0022747619758083,0.49,-0.0002367439562753,Polymer tensile strength,Polymer hardness,polymer,polymer,2,physical-neighbor,mechanical resistance,-1.2294345140638012,20,0,False,15.169163175353622,0.011151780318935,interpolated,,,0,practically-equivalent,,,,,practically-equivalent
polymer_tensile,polymer_elongation,confirmation,ridge-primary,100,15,16,14,-0.0513569964727352,-0.0305809104899686,0.0207760859827666,0.4065165262286651,0.402889187228413,0.0078988602610362,-0.0024943052229512,0.0212682207766175,0.75,0.0033618902484245,Polymer tensile strength,Polymer elongation at break,polymer,polymer,2,same-domain,strength-ductility relation,-0.1510138978018874,30,0,False,16.597286869472747,0.0962378298353463,interpolated,,,1,unresolved,,,,,unresolved
polymer_tensile,polymer_tg,confirmation,ridge-primary,100,15,16,14,-0.0513569964727352,-0.0491963162206451,0.00216068025209,0.4065165262286651,0.4062055103685635,0.000388235171121,-0.0075814457010727,0.0090036485793816,0.56,0.0003496312960723,Polymer tensile strength,Polymer glass-transition temperature,polymer,polymer,1,same-domain,chain mobility context,0.3319578096337998,32,0,False,15.393613189333212,0.0255699025623146,interpolated,,,1,practically-equivalent,,,,,practically-equivalent
polymer_tensile,photo_e_pipi,confirmation,ridge-primary,100,15,16,14,-0.0513569964727352,-0.0617438505619889,-0.0103868540892536,0.4065165262286651,0.4084067479620319,-0.0044905357983814,-0.0175688287978365,0.0072987953508483,0.34,-0.0016807527415623,Polymer tensile strength,Photoswitch E π-π* wavelength,polymer,molecular photoswitch,0,distant-control,small-molecule optical endpoint,-0.2948152287337262,0,0,False,14.759962661613004,-0.0162627334424953,interpolated,,,0,practically-equivalent,,,,,practically-equivalent
polymer_tm,polymer_tg,confirmation,ridge-primary,100,15,17,15,-0.4481302659957792,-0.4663381011671571,-0.0182078351713778,79.21459063862714,79.74552014318095,-0.0071202196039462,-0.0273916981904679,0.0179379409838026,0.24,-80.23517210933255,Polymer melting temperature,Polymer glass-transition temperature,polymer,polymer,3,physical-neighbor,paired polymer thermal transitions,0.3201100070924658,34,0,False,8.0,-0.875,no-savings,,,0,unresolved,,,,,unresolved
polymer_tm,polymer_crystallization,confirmation,ridge-primary,100,15,17,15,-0.4481302659957792,-0.4364294554926405,0.0117008105031386,79.21459063862714,78.91766046271009,0.0034202289672283,0.0009816715116304,0.007083154258368,0.79,51.56112935456511,Polymer melting temperature,Polymer crystallization temperature,polymer,polymer,3,physical-neighbor,crystallization-melting relation,0.0099440194363701,23,0,False,8.0,-0.875,no-savings,,,1,practically-equivalent,,,,,practically-equivalent
polymer_tm,polymer_td,confirmation,ridge-primary,100,15,17,15,-0.4481302659957792,-0.4462908621523351,0.0018394038434441,79.21459063862714,79.16246008470895,0.0006907920937936,-0.0008573338506672,0.0022824673696705,0.63,8.105570078386123,Polymer melting temperature,Polymer decomposition temperature,polymer,polymer,2,same-domain,polymer thermal stability,-0.1139931153422568,34,0,False,8.0,-0.875,no-savings,,,1,practically-equivalent,,,,,practically-equivalent
polymer_tm,polymer_tensile,confirmation,ridge-primary,100,15,17,15,-0.4481302659957792,-0.4387430359301237,0.0093872300656555,79.21459063862714,78.99815352832155,0.0021628671809771,-0.0084251857766217,0.012999040330796,0.57,41.36603900785297,Polymer melting temperature,Polymer tensile strength,polymer,polymer,1,same-domain,structure-mediated mechanical relation,-0.343311334925847,32,0,False,8.0,-0.875,no-savings,,,1,practically-equivalent,,,,,practically-equivalent
polymer_tm,photo_e_pipi,confirmation,ridge-primary,100,15,17,15,-0.4481302659957792,-0.4505784783220097,-0.0024482123262305,79.21459063862714,79.29185927194955,-0.0011089198992222,-0.0131085556978919,0.0143991241114189,0.36,-10.78836311436317,Polymer melting temperature,Photoswitch E π-π* wavelength,polymer,molecular photoswitch,0,distant-control,small-molecule optical endpoint,-0.2948152287337262,0,0,False,8.0,-0.875,no-savings,,,0,practically-equivalent,,,,,practically-equivalent
