repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
1,15,15,extra-trees-primary,ood_q2,thermoelectric_neighbor,3.365908595643993,3.5150276894690955,-0.04430277578484626,-0.48243748891406213,2.5420872301088155,-0.28946566234907845,27
0,15,15,extra-trees-primary,ood_q3,thermoelectric_neighbor,5.639034048244619,5.526982370161689,0.01987072202867975,-0.5168752009611379,3.5668907708872615,-0.29379532712817846,28
1,15,15,extra-trees-primary,ood_q3,thermoelectric_neighbor,5.0869110356891225,5.052513133426516,0.006762041250824887,-0.163864891325171,3.7872087573488753,-0.12086277537066184,28
0,15,15,extra-trees-primary,ood_q4,thermoelectric_neighbor,4.183721822782101,4.197105183917257,-0.0031989127628605104,-0.9472103090937112,3.390645574487231,-0.512593503148115,27
1,15,15,extra-trees-primary,ood_q4,thermoelectric_neighbor,3.001609908185889,3.0195500807836426,-0.0059768501392628934,-0.10498940072475538,2.049934573064388,-0.01070829714243091,27
0,15,15,random-forest-sensitivity,all,alloy_control,3.8427397418074367,3.7754001716780867,0.017523843573563676,-0.21354909062585015,2.4995078992598794,0.09632681112419335,110
1,15,15,random-forest-sensitivity,all,alloy_control,3.398073320136344,3.3439187730307247,0.01593683890948139,0.047987160491011926,2.288428941928046,0.2555213050536549,110
0,15,15,random-forest-sensitivity,hard_ood_fixed,alloy_control,5.057010751048945,4.86400275092478,0.0381664207623308,-0.43131121840694875,3.5386671705050166,-0.3845557954685284,44
1,15,15,random-forest-sensitivity,hard_ood_fixed,alloy_control,4.463253070708259,4.332114729073953,0.029381784890251766,-0.13539336204785335,3.0041059379481325,0.07179416747639136,44
0,15,15,random-forest-sensitivity,ood_q1,alloy_control,1.6831238051711361,1.8044022157462194,-0.07205554945065491,-3.695780016050941,1.313507838263827,0.21832630787498375,28
1,15,15,random-forest-sensitivity,ood_q1,alloy_control,1.7604994981776851,1.9364238088734256,-0.09992863438918437,-0.02393426775098506,1.552505082295493,0.3513073946253972,28
0,15,15,random-forest-sensitivity,ood_q2,alloy_control,3.3536079690664553,3.3974378575357034,-0.013069472900092435,-0.20149045293791845,2.4880502423849866,-0.034535466838885004,27
1,15,15,random-forest-sensitivity,ood_q2,alloy_control,2.9285584658353363,2.919293358826663,0.00316370907965819,-0.022526016575274532,2.0538178437331744,0.1569945314306095,27
0,15,15,random-forest-sensitivity,ood_q3,alloy_control,5.451007201542303,5.311600507937217,0.0255744834763091,-0.40095601488313215,3.380837906481048,-0.1787728630365297,28
1,15,15,random-forest-sensitivity,ood_q3,alloy_control,5.145825560221907,4.863874553213219,0.05479218129510969,-0.07858008217737855,3.5930872895304664,-0.040572145475168325,28
0,15,15,random-forest-sensitivity,ood_q4,alloy_control,3.8938319664988965,3.727377479257557,0.04274824611679523,-0.5357478199111818,2.8269196859753913,-0.43053435114503813,27
1,15,15,random-forest-sensitivity,ood_q4,alloy_control,2.791431056064558,2.9344660308763424,-0.05124073349439596,-0.04359457125799859,1.9332413118578688,0.029636424720330273,27
0,15,15,random-forest-sensitivity,all,catalysis_control,3.8427397418074367,3.6946825624499424,0.038529067619826746,-0.16221273100864808,2.4654682340495526,0.16620932169138536,110
1,15,15,random-forest-sensitivity,all,catalysis_control,3.398073320136344,3.4399064080350334,-0.012310825564237888,-0.007452594940125845,2.454686727403933,0.24669405506001899,110
0,15,15,random-forest-sensitivity,hard_ood_fixed,catalysis_control,5.057010751048945,4.778117989759557,0.05514972678900057,-0.3812115179525035,3.5060897155818136,-0.31439271531145846,44
1,15,15,random-forest-sensitivity,hard_ood_fixed,catalysis_control,4.463253070708259,4.451343786938446,0.0026682967739320475,-0.19875029103714326,3.0968665660960855,-0.0033912674946869367,44
