donor,raw_row_id,material_key,elemental_system,doi,value_raw,log_value,temperature_c,process_cast_or_melt,process_wrought,process_powder,process_heat_treated,process_additive,phase_fcc,phase_bcc,phase_hcp,phase_amorphous,phase_multiphase
borg_ys,245,Al:0.8012820513|Li:0.04967948718|Mg:0.04967948718|Sn:0.04967948718|Zn:0.04967948718,Al|Li|Mg|Sn|Zn,10.1007/s11837-015-1402-z,415.0,2.6180480967120925,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,694,C:0.003984063745|Co:0.1992031873|Cr:0.1992031873|Fe:0.1992031873|Mn:0.1992031873|Ni:0.1992031873,C|Co|Cr|Fe|Mn|Ni,10.1080/02670836.2017.1342367,446.0,2.649334858712142,25.0,0,1,0,0,0,0,0,0,0,0
borg_ys,696,C:0.003984063745|Co:0.1992031873|Cr:0.1992031873|Fe:0.1992031873|Mn:0.1992031873|Ni:0.1992031873,C|Co|Cr|Fe|Mn|Ni,10.1080/02670836.2017.1342367,581.0,2.7641761323903307,25.0,0,1,0,0,0,0,0,0,0,0
borg_ys,1282,C:0.008067689886|Co:0.196772924|Cr:0.196772924|Fe:0.196772924|Mn:0.196772924|Nb:0.008067689886|Ni:0.196772924,C|Co|Cr|Fe|Mn|Nb|Ni,10.1016/j.jallcom.2019.04.121,732.0,2.864511081058392,25.0,0,1,0,0,0,0,0,0,0,0
borg_ys,1321,C:0.01923076923|Co:0.1923076923|Cr:0.1923076923|Fe:0.1923076923|Mn:0.1923076923|Ni:0.1923076923|Ti:0.01923076923,C|Co|Cr|Fe|Mn|Ni|Ti,10.1016/j.vacuum.2019.04.043,1616.0,3.208441356438567,25.0,0,0,1,0,0,0,0,0,0,0
borg_ys,1322,C:0.01923076923|Co:0.1923076923|Cr:0.1923076923|Fe:0.1923076923|Mn:0.1923076923|Ni:0.1923076923|Ti:0.01923076923,C|Co|Cr|Fe|Mn|Ni|Ti,10.1016/j.vacuum.2019.04.043,1652.0,3.218010042984363,25.0,0,0,1,0,0,0,0,0,0,0
borg_ys,1323,C:0.01923076923|Co:0.1923076923|Cr:0.1923076923|Fe:0.1923076923|Mn:0.1923076923|Ni:0.1923076923|Ti:0.01923076923,C|Co|Cr|Fe|Mn|Ni|Ti,10.1016/j.vacuum.2019.04.043,1490.0,3.173186268412274,25.0,0,0,1,0,0,0,0,0,0,0
borg_ys,1324,C:0.01923076923|Co:0.1923076923|Cr:0.1923076923|Fe:0.1923076923|Mn:0.1923076923|Ni:0.1923076923|Ti:0.01923076923,C|Co|Cr|Fe|Mn|Ni|Ti,10.1016/j.vacuum.2019.04.043,1194.0,3.0770043267933502,25.0,0,0,1,0,0,0,0,0,0,0
borg_ys,309,C:0.0243902439|Hf:0.1219512195|Mo:0.1219512195|Nb:0.243902439|Ti:0.243902439|Zr:0.243902439,C|Hf|Mo|Nb|Ti|Zr,10.1016/j.intermet.2015.09.011,1183.0,3.0729847446279304,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,1070,C:0.05128205128|Mo:0.2564102564|Nb:0.2564102564|Re:0.1282051282|Ta:0.05128205128|W:0.2564102564,C|Mo|Nb|Re|Ta|W,10.1016/j.jallcom.2018.11.111,1074.0,3.0310042813635367,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,310,C:0.06976744186|Hf:0.1162790698|Mo:0.1162790698|Nb:0.2325581395|Ti:0.2325581395|Zr:0.2325581395,C|Hf|Mo|Nb|Ti|Zr,10.1016/j.intermet.2015.09.011,1201.0,3.079543007402906,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,807,C:0.09090909091|Co:0.1818181818|Cr:0.1818181818|Fe:0.1818181818|Mn:0.1818181818|Ni:0.1818181818,C|Co|Cr|Fe|Mn|Ni,10.1016/j.msea.2019.01.050,520.9,2.716754357432697,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1071,C:0.09302325581|Mo:0.2325581395|Nb:0.2325581395|Re:0.1162790698|Ta:0.09302325581|W:0.2325581395,C|Mo|Nb|Re|Ta|W,10.1016/j.jallcom.2018.11.111,1144.0,3.058426024457005,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,1072,C:0.1111111111|Mo:0.2222222222|Nb:0.2222222222|Re:0.1111111111|Ta:0.1111111111|W:0.2222222222,C|Mo|Nb|Re|Ta|W,10.1016/j.jallcom.2018.11.111,1202.0,3.079904467666721,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,1073,C:0.1276595745|Mo:0.2127659574|Nb:0.2127659574|Re:0.1063829787|Ta:0.1276595745|W:0.2127659574,C|Mo|Nb|Re|Ta|W,10.1016/j.jallcom.2018.11.111,1241.0,3.09377178149873,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,808,C:0.1666666667|Co:0.1666666667|Cr:0.1666666667|Fe:0.1666666667|Mn:0.1666666667|Ni:0.1666666667,C|Co|Cr|Fe|Mn|Ni,10.1016/j.msea.2019.01.050,643.8,2.8087509723495945,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1355,Co:0.04873772791|Cr:0.1563814867|Cu:0.3471248247|Ni:0.350631136|Si:0.09712482468,Co|Cr|Cu|Ni|Si,10.1016/j.msea.2019.05.003,777.0,2.890421018800914,25.0,0,1,0,0,0,0,0,0,0,0
borg_ys,1418,Co:0.05283911672|Cu:0.05283911672|Fe:0.05283911672|Nb:0.7886435331|Ni:0.05283911672,Co|Cu|Fe|Nb|Ni,10.1557/jmr.2019.36,1415.0,3.150756439860309,25.0,0,1,0,0,0,0,0,0,0,0
borg_ys,1417,Co:0.06398809524|Cu:0.06398809524|Fe:0.06398809524|Nb:0.744047619|Ni:0.06398809524,Co|Cu|Fe|Nb|Ni,10.1557/jmr.2019.36,1703.0,3.231214647962601,25.0,0,1,0,0,0,0,0,0,0,0
borg_ys,1416,Co:0.08681462141|Cu:0.08681462141|Fe:0.08681462141|Nb:0.6527415144|Ni:0.08681462141,Co|Cu|Fe|Nb|Ni,10.1557/jmr.2019.36,1635.0,3.2135177569963047,25.0,0,1,0,0,0,0,0,0,0,0
borg_ys,1084,Co:0.100069979|Cr:0.1501049685|Fe:0.3498950315|Mn:0.0500349895|Ni:0.2498250525|V:0.100069979,Co|Cr|Fe|Mn|Ni|V,10.1016/j.msea.2018.12.077,401.0,2.603144372620182,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1085,Co:0.100069979|Cr:0.1501049685|Fe:0.3498950315|Mn:0.0500349895|Ni:0.2498250525|V:0.100069979,Co|Cr|Fe|Mn|Ni|V,10.1016/j.msea.2018.12.077,350.0,2.5440680443502757,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1086,Co:0.100069979|Cr:0.1501049685|Fe:0.3498950315|Mn:0.0500349895|Ni:0.2498250525|V:0.100069979,Co|Cr|Fe|Mn|Ni|V,10.1016/j.msea.2018.12.077,312.0,2.494154594018443,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1087,Co:0.100069979|Cr:0.1501049685|Fe:0.3498950315|Mn:0.0500349895|Ni:0.2498250525|V:0.100069979,Co|Cr|Fe|Mn|Ni|V,10.1016/j.msea.2018.12.077,240.0,2.380211241711606,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1088,Co:0.100069979|Cr:0.1501049685|Fe:0.3498950315|Mn:0.0500349895|Ni:0.2498250525|V:0.100069979,Co|Cr|Fe|Mn|Ni|V,10.1016/j.msea.2018.12.077,210.0,2.322219294733919,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1015,Co:0.1111111111|Cr:0.4444444444|Ni:0.4444444444,Co|Cr|Ni,10.1016/j.actamat.2019.04.017,518.0,2.714329759745233,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1016,Co:0.1111111111|Cr:0.4444444444|Ni:0.4444444444,Co|Cr|Ni,10.1016/j.actamat.2019.04.017,462.0,2.6646419755561257,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1017,Co:0.1111111111|Cr:0.4444444444|Ni:0.4444444444,Co|Cr|Ni,10.1016/j.actamat.2019.04.017,395.0,2.59659709562646,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1018,Co:0.1111111111|Cr:0.4444444444|Ni:0.4444444444,Co|Cr|Ni,10.1016/j.actamat.2019.04.017,356.0,2.5514499979728753,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,1415,Co:0.1111111111|Cu:0.1111111111|Fe:0.1111111111|Nb:0.5555555556|Ni:0.1111111111,Co|Cu|Fe|Nb|Ni,10.1557/jmr.2019.36,1498.0,3.1755118133634475,25.0,0,1,0,0,0,0,0,0,0,0
borg_ys,1185,Co:0.116149285|Cr:0.2326473666|Fe:0.2326473666|Ni:0.3487966516|Ti:0.06975933031,Co|Cr|Fe|Ni|Ti,10.1016/j.msea.2019.138181,586.0,2.767897616018091,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,394,Co:0.125|Cr:0.125|Cu:0.125|Fe:0.125|Mn:0.125|Ni:0.125|Ti:0.125|V:0.125,Co|Cr|Cu|Fe|Mn|Ni|Ti|V,10.1016/j.msea.2006.11.049,1312.0,3.1179338350396413,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,170,Co:0.1666666667|Cr:0.1666666667|Cu:0.1666666667|Fe:0.1666666667|Ni:0.1666666667|Ti:0.1666666667,Co|Cr|Cu|Fe|Ni|Ti,10.1016/j.intermet.2006.08.005,1272.0,3.104487111312395,25.0,1,0,0,0,0,1,0,0,0,0
borg_ys,147,Co:0.1666666667|Cr:0.1666666667|Fe:0.1666666667|Mn:0.1666666667|Ni:0.1666666667|V:0.1666666667,Co|Cr|Fe|Mn|Ni|V,10.1016/j.jallcom.2014.12.157,1660.0,3.220108088040055,25.0,0,0,0,1,0,0,0,0,0,0
borg_ys,729,Co:0.1666666667|Cr:0.1666666667|Fe:0.1666666667|Mn:0.1666666667|Ni:0.1666666667|V:0.1666666667,Co|Cr|Fe|Mn|Ni|V,10.1134/s0031918x17060084,1700.0,3.230448921378274,25.0,0,0,0,1,0,0,0,0,0,0
borg_ys,842,Co:0.1666666667|Cr:0.1666666667|Fe:0.3333333333|Ni:0.3333333333,Co|Cr|Fe|Ni,10.1080/21663831.2018.1553803,214.0,2.330413773349191,25.0,0,1,0,0,0,1,0,0,0,0
borg_ys,172,Co:0.1724137931|Cr:0.1724137931|Cu:0.1724137931|Fe:0.1724137931|Ni:0.1724137931|Ti:0.1379310345,Co|Cr|Cu|Fe|Ni|Ti,10.1016/j.intermet.2006.08.005,1042.0,3.0178677189635055,25.0,1,0,0,0,0,0,0,0,0,0
borg_ys,1403,Co:0.1724137931|Cr:0.1724137931|Fe:0.1724137931|Mn:0.1379310345|Ni:0.1724137931|Pd:0.1724137931,Co|Cr|Fe|Mn|Ni|Pd,10.3390/e21030288,650.0,2.8129133566428557,25.0,1,0,0,0,0,0,0,0,0,0
