file_id,archive_name,archive_bytes,archive_sha256,download_url,supplied_md5,serial_internal,serial,stage,lab,type,tp,cell,sampling,mapping_method,metadata_conflict_flags
47630320,TP_z20_01.zip,21816916,333c555f7877d6211d61c79788fe9de815a058a8d398b131a576038dc093608c,https://ndownloader.figshare.com/files/47630320,c785295e26970ee8f5157f2f72d20095,TP_z20_01,TP_z20_01,2,HM,z,20,1,pi,exact-archive-serial-plus-internal-serial,
47630323,TP_z23_03.zip,21543376,c0eec24fb2715b1c2cb8238d54bff8a24cd3dc16bfa28d81f43be084ee645f39,https://ndownloader.figshare.com/files/47630323,33d9f7b9eb575da4ad1ec03658a1983f,TP_z23_03,TP_z23_03,2,HM,z,23,3,pi,exact-archive-serial-plus-internal-serial,
47630359,TP_k05_03.zip,25273721,2bc5271c8d9bac85b1cb9c3ab2a72347afd54f8938698cb76dc0204dda9dcf0e,https://ndownloader.figshare.com/files/47630359,cd74e28b3206b37b6ebadbb618af2490,INT051,TP_k05_03,2,INT,k,5,3,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630362,TP_k05_01.zip,25306711,3cfac688fec143382a560c8a287eba808842c82e16e648ddeb44cf09ac475a62,https://ndownloader.figshare.com/files/47630362,d7ba49cbdbfffc9c2eb8cc31fd130133,INT195,TP_k05_01,2,INT,k,5,1,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630371,TP_k04_02.zip,25392994,dc48058ef59642425c529332370c5d516550d42cef1eced1a48e4fdbc60678cb,https://ndownloader.figshare.com/files/47630371,4e593cdda12b15f7237550073a7a691c,INT004,TP_k04_02,2,INT,k,4,2,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630380,TP_k08_02.zip,25685426,f9b7e64b2d75ec790ce7f085d0df56675a1262232f25f843b378de7c566119b3,https://ndownloader.figshare.com/files/47630380,87c3eca9f0624caeb097c9eeb65d98a0,TP_k08_02,TP_k08_02,2,HM,k,8,2,manual,exact-archive-serial-plus-internal-serial,
47630383,TP_k04_01.zip,25541725,c2bdc88666a28d009001e67aa71973a06d2769a25cf0bbea74b13233b54c4367,https://ndownloader.figshare.com/files/47630383,0f07a4523b5d97a113fb54b55e157075,INT085,TP_k04_01,2,INT,k,4,1,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630431,TP_k08_01.zip,25315584,e8833ae0a45bb03a0d8c37284a7d6f5a13952678f31dbd4e0a29513c66bf5000,https://ndownloader.figshare.com/files/47630431,d5b61db586d105bb3f3ccceb281ce0a6,TP_k08_01,TP_k08_01,2,HM,k,8,1,manual,exact-archive-serial-plus-internal-serial,
47630437,TP_k07_01.zip,25073999,5ebd871d747919f36c08198333a41e9652ff11a7ca7c725c5155317e6d978d0f,https://ndownloader.figshare.com/files/47630437,d5a91f02f456ba112827672a82111cde,INT003,TP_k07_01,2,INT,k,7,1,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630440,TP_k04_03.zip,25478198,cfa0f1f49e9c7b3082beada7b7972d6811958234d9546fa3dd5c9eab416aa6cd,https://ndownloader.figshare.com/files/47630440,563724f1b070b68d496ab05cb98b3ff2,INT103,TP_k04_03,2,INT,k,4,3,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630443,TP_k06_01.zip,25834800,4b70ebde3c16d78c37829ead59ef7fcbc81fd292526206157fb6217b14c169a1,https://ndownloader.figshare.com/files/47630443,f2ffd71130b65759420ddbb318417360,INT009,TP_k06_01,2,INT,k,6,1,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630674,TP_k07_02.zip,25505534,5911cd8fe147c47c3ce3da5c3869f708f65538aaba1af583e253e7dcf5ffda45,https://ndownloader.figshare.com/files/47630674,bacbaedc96ad99f846ba7c6a08e7d4f3,INT045,TP_k07_02,2,INT,k,7,2,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630677,TP_k07_03.zip,25281078,530b47660edfa5bea35bc4e93ec0e5db8ac134e434a2f09ed5d07a884a0add01,https://ndownloader.figshare.com/files/47630677,532c06151ad8a412a0167f3c5ae7398d,INT080,TP_k07_03,2,INT,k,7,3,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630680,TP_k08_03.zip,25436841,dab5d89bc1f5322a27063648fcb53bb4315aa2323093515d299250206b02bdc2,https://ndownloader.figshare.com/files/47630680,c596dff2688e6021213db11c002670b2,TP_k08_03,TP_k08_03,2,HM,k,8,3,manual,exact-archive-serial-plus-internal-serial,
47630686,TP_k05_02.zip,25536065,82421d6e35aebec91e5baedc5341ec54e1429457c2c1d49a2a7c5a592859e7e3,https://ndownloader.figshare.com/files/47630686,00a781af864c688f7c83d5d1736db2f2,INT114,TP_k05_02,2,INT,k,5,2,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630689,TP_k06_02.zip,25314232,f1ecbd5783094496be4c8977e985950e094e3307568fb4687f2dc2a7a2dd66ad,https://ndownloader.figshare.com/files/47630689,30c707f5d4447a23d34c2ee8c7bf8f03,INT140,TP_k06_02,2,INT,k,6,2,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630692,TP_k06_03.zip,25514677,9c0af2c9a6a62bbf6003fb890ccf3fb847c85cf720622f1a6828fadf70d19605,https://ndownloader.figshare.com/files/47630692,b79acc8e746f2b25de98910f5437b2eb,INT091,TP_k06_03,2,INT,k,6,3,pi,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47630698,TP_k10_01.zip,25256929,10276aa7bfd2459cb3e6a9bf90c5b0ae16354e70ef448882f2316fb84dd005e9,https://ndownloader.figshare.com/files/47630698,0a64caa3283da226bdbcaea86c6c4d4e,TP_k10_01,TP_k10_01,2,HM,k,10,1,manual,exact-archive-serial-plus-internal-serial,
47630701,TP_k10_02.zip,25304741,e7d99157822855fd4d05cb98810adc66d68be81461bca2585b7dd945330ef2c7,https://ndownloader.figshare.com/files/47630701,c6934414beee62e8fab9b051359da5ae,TP_k10_02,TP_k10_02,2,HM,k,10,2,manual,exact-archive-serial-plus-internal-serial,
47630716,TP_k09_01.zip,25617844,2e4bb2cf860ccb759702ddd6835a1212b13a2e435630110ce396eed5e29fed46,https://ndownloader.figshare.com/files/47630716,41933443fcb7d7b87ce8a53467655276,TP_k09_01,TP_k09_01,2,HM,k,9,1,manual,exact-archive-serial-plus-internal-serial,
47630719,TP_k10_03.zip,25512071,007fff4c0ec65287e17bf87c4407d3f4842a4482823b5afda28a056647401f8b,https://ndownloader.figshare.com/files/47630719,9244fc9b7fc2164c2cdcb595f33fa286,TP_k10_03,TP_k10_03,2,HM,k,10,3,manual,exact-archive-serial-plus-internal-serial,
47630722,TP_k09_03.zip,25688513,e7dbb1ba90809c1a805342611254947078ef7aa071f43d12c35c80b71ef2306f,https://ndownloader.figshare.com/files/47630722,7cadc762d5f78e125eaec0066d6904eb,TP_k09_03,TP_k09_03,2,HM,k,9,3,manual,exact-archive-serial-plus-internal-serial,
47630728,TP_k09_02.zip,25770426,7c2eb78b0e76ae1e25c55bf4d28d326f7793e2365c27b31452eae3aa63fb9478,https://ndownloader.figshare.com/files/47630728,f04530f3a4ed52094333f7eafc4dd75b,TP_k09_02,TP_k09_02,2,HM,k,9,2,manual,exact-archive-serial-plus-internal-serial,
47630755,TP_k11_02.zip,25579419,1621d903cf3981aeb5ab102d52a3f243acadd057547fa6a9f0387b428ba072de,https://ndownloader.figshare.com/files/47630755,7b2eb00295e768fa9d3d9713bc084f45,TP_k11_02,TP_k11_02,2,HM,k,11,2,manual,exact-archive-serial-plus-internal-serial,
47630773,TP_k11_01.zip,25531146,da367d3947e509d46ff17f8c48bde4d6933c0ba94d8deb6b9217564bb7965790,https://ndownloader.figshare.com/files/47630773,d4eea0cb16a0532baec6a0f6fe3fa6a7,TP_k11_01,TP_k11_01,2,HM,k,11,1,manual,exact-archive-serial-plus-internal-serial,
47630776,TP_k11_03.zip,25766364,ffae11a6359af25951b3a206c98fce3cf4861f0cbf85b2d4b215cb1f72619c84,https://ndownloader.figshare.com/files/47630776,9b6e46f717c9dcffb9301fc828603408,TP_k11_03,TP_k11_03,2,HM,k,11,3,manual,exact-archive-serial-plus-internal-serial,
47631133,TP_z02_02.zip,25472922,fda47d92d3f5e071fb763dbade28dcbe3ce7d66a65830f34a18ba46dc757a279,https://ndownloader.figshare.com/files/47631133,ec4639c3ab4f5ab4995b7f7e3665c8e9,025,TP_z02_02,2,SIE,z,2,2,pi,exact-archive-serial-plus-internal-serial,
47631232,TP_z10_01.zip,28601785,3e598ec1507bb0b47e46c0c1cc514a2f2f55b7cf8fcd57aea58906670e9140fb,https://ndownloader.figshare.com/files/47631232,ce7a82717f8a2e2a410fd26d1521e286,INT149,TP_z10_01,2,INT,z,10,1,cLH,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47631268,TP_z02_01.zip,26937830,0f0d4337dcbfb25157e8bbb4f7e6eea71c42a12f4fd732fbd3f9081c5e7b1572,https://ndownloader.figshare.com/files/47631268,bcaeb499551de89a11147ea96574513f,117,TP_z02_01,2,SIE,z,2,1,pi,exact-archive-serial-plus-internal-serial,
47632252,TP_z15_01.zip,41910011,91eaa706e4b18df3e7832401ff23479b4baff4e10bd181d5b5bc5e373e66cbdb,https://ndownloader.figshare.com/files/47632252,a74cc5926bda62ee2857ff148c458c9e,TP_z15_01,TP_z15_01,2,HM,z,15,1,pi,exact-archive-serial-plus-internal-serial,
47632315,TP_z10_02.zip,44036009,a81ae6920b5edfd8ea49477291bd340b3eb790b9a714af387817a9c98c166235,https://ndownloader.figshare.com/files/47632315,33801f5317683646ae638d6a4911a492,INT005,TP_z10_02,2,INT,z,10,2,cLH,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47632321,TP_z17_01.zip,44047140,62a3f57427affd81bf82cff5242724ce14ecee4ecfca6115aba740d104168c88,https://ndownloader.figshare.com/files/47632321,433f88c5ff2bb7f77436fbfc842a90ed,TP_z17_01,TP_z17_01,2,HM,z,17,1,pi,exact-archive-serial-plus-internal-serial,
47632330,TP_z10_03.zip,44825788,6c245b93d37102546354c075da0ce95905bfef2b22f738af975fa1080bc744dd,https://ndownloader.figshare.com/files/47632330,ddc5130607b4e453ce518078605dc21d,INT054,TP_z10_03,2,INT,z,10,3,cLH,exact-archive-serial-plus-internal-serial,testpoint_format_variant
47632336,TP_z15_03.zip,45153695,460c3ab75f7646b66946259a097d265ad907607c4d257f2cb8ccde0dcfa76a89,https://ndownloader.figshare.com/files/47632336,8c63604c39fbdeb8788e11441f6463fb,TP_z15_03,TP_z15_03,2,HM,z,15,3,pi,exact-archive-serial-plus-internal-serial,
47632339,TP_z15_02.zip,45290917,51b8da2ebcd89d93fdebf6712661b0f9509791c573c5d40715de75fc5998e496,https://ndownloader.figshare.com/files/47632339,3cc02432aec584179b99ff2290313a3a,TP_z15_02,TP_z15_02,2,HM,z,15,2,pi,exact-archive-serial-plus-internal-serial,
47632342,TP_z17_02.zip,44567504,b11b362420112c2097d2caecd1a3e2553eb6ee9d49dc974d8c05b1e8262c2183,https://ndownloader.figshare.com/files/47632342,ebfbaf4838f458c72e8dcce7d41c3a43,TP_z17_02,TP_z17_02,2,HM,z,17,2,pi,exact-archive-serial-plus-internal-serial,
47632351,TP_z17_03.zip,44577738,881ee2d0ed55624a2ba96f067b661617fe0faa176144e194ae6bd2d7738f37a8,https://ndownloader.figshare.com/files/47632351,59ac61525a5b57374c096f777062159c,TP_z17_03,TP_z17_03,2,HM,z,17,3,pi,exact-archive-serial-plus-internal-serial,
