repeat,base_r2,aug_r2,delta_r2,base_rmse,aug_rmse,relative_rmse_improvement
162,0.10052281545869068,0.22073947323029053,0.12021665777159984,0.14135471079062337,0.1315699014291483,0.06922167154350078
163,0.24776737789376613,0.2453693650384906,-0.002398012855275522,0.12324802424203904,0.12344431669812024,-0.0015926620916511802
164,0.40890402235939705,0.4482418635491101,0.03933784118971306,0.1065521802117989,0.10294558159265807,0.03384819167446236
165,0.47232641603960124,0.4857434373452243,0.013417021305623056,0.1048266862311293,0.103485404552042,0.01279523113160276
166,0.28047449115682255,0.27321236158301077,-0.007262129573811782,0.13172015341876606,0.1323832065457715,-0.00503380166053592
167,0.5397791779392729,0.6080183507349861,0.06823917279571323,0.10329435823613885,0.0953292854534292,0.07711043389708547
168,0.39618588335635907,0.36859061037903373,-0.027595272977325336,0.12470980853858966,0.1275276918387276,-0.02259552262295388
169,0.3918647554752659,0.37221802673292226,-0.019646728742343633,0.11337666793687588,0.11519351295231907,-0.016024858099152647
170,0.2666183636714021,0.33224277284288595,0.06562440917148382,0.1322982393275035,0.12624039578542412,0.045789298276927425
171,0.2778145993027539,0.35631695244016737,0.0785023531374135,0.11938964445847122,0.11271412455196915,0.0559137263267762
172,0.3167817262533449,0.3100201068998165,-0.00676161935352837,0.11883232718617037,0.11941890454376664,-0.004936176640530595
173,0.45427280900903944,0.4800545820512997,0.02578177304226026,0.09877266958182102,0.09641128535600338,0.023907263373716146
174,0.3084891293600115,0.4061466394476403,0.0976575100876288,0.11533181449284019,0.1068782239110412,0.07329799343722104
175,-0.13595739965492193,-0.20139636561609153,-0.0654389659611696,0.1695460373176353,0.174361171471641,-0.028400157445053295
176,0.47864195791611996,0.48309152169964076,0.0044495637835207935,0.08835139502804151,0.08797356681565538,0.0042764261081131285
177,0.4765248261918633,0.5050831592975586,0.028558333105695333,0.10643835449278202,0.10349425030904214,0.027660181311235304
178,0.37087520953460507,0.377914094183024,0.007038884648418953,0.11007083483855512,0.10945334586727651,0.005609923574980656
179,-0.12287091550791263,-0.020741170300750733,0.10212974520716189,0.13477766933286978,0.12850228238888126,0.04656102880433227
180,0.06025701728303934,0.08967322590187787,0.029416208618838535,0.13783731063247348,0.1356628396425814,0.01577563418724871
181,0.08746607866226874,0.16273244871353298,0.07526637005126424,0.14214302747435542,0.13615487086885755,0.04212768443093851
182,0.6495938738805254,0.625451574826738,-0.024142299053787397,0.08511293237818247,0.08799615498857202,-0.03387525878650873
183,0.29918818571529804,0.3203928538941293,0.021204668178831265,0.11500484760784532,0.11325161606586137,0.015244849051600768
184,0.45280200514544033,0.4811381354692905,0.028336130323850184,0.11077190253750614,0.10786566921213549,0.026236195811357818
185,0.1706100061495036,0.19434926982658174,0.023739263677078126,0.13790061653993135,0.1359127546112607,0.014415177963290905
186,0.5121298354189681,0.4788720894009282,-0.03325774601803988,0.11232207122542764,0.11608741490474203,-0.03352274079559515
187,0.5120106531778803,0.5284869090663402,0.016476255888459912,0.10351744937775435,0.10175488539855496,0.01702673307538205
188,0.07676605447196316,0.1556213424545958,0.07885528798263264,0.14856965085211635,0.142083237511561,0.043659073729747276
189,0.3511278238290406,0.39368918819584364,0.04256136436680302,0.13093922204181585,0.12657205657755285,0.03335261502369647
190,0.3487350135484809,0.3362633951030084,-0.01247161844547251,0.12544734347740624,0.12664279554009214,-0.009529512778412923
191,0.1487528458158749,0.19152759486768656,0.04277474905181167,0.1296878239851476,0.12638745459793926,0.02544856784385802
192,0.16969585709910773,0.21611616256026456,0.04642030546115683,0.13390544998052253,0.1301084508149302,0.028355822456402186
193,0.5505738852019078,0.5555465459414621,0.00497266073955438,0.09457371194428683,0.09404905274738985,0.005547621914280547
194,0.35854978651167335,0.39271941232683605,0.034169625815162696,0.11614327887778117,0.11300750976623773,0.026999144004219492
195,0.2368293566591353,0.3065138457346661,0.06968448907553082,0.12996854583550213,0.12389287442111235,0.046747244691647157
196,0.35412800425703694,0.35246320424578215,-0.0016648000112547967,0.11860666325799897,0.11875942518175253,-0.0012879708404009804
197,0.176324261609896,0.26518938640704004,0.08886512479714404,0.13572270787580734,0.12819234416691594,0.055483447293005965
198,0.40101487898949795,0.4020501015938164,0.001035222604318431,0.10882481207312884,0.10873073075121441,0.0008645208764634851
199,0.40881341492951206,0.4313218301857973,0.02250841525628522,0.123611880990108,0.1212358909161125,0.019221373018226594
