permutation,macro_rmse_shuffled_delta,macro_rmse_neighbor_absolute,relative_gain_vs_neighbor_absolute
143,0.6711943777505858,0.4900712720988895,-0.3695852337476908
144,0.650466150417495,0.4900712720988895,-0.3272888811287842
145,0.6186641318824531,0.4900712720988895,-0.2623962413320471
146,0.7009600660603803,0.4900712720988895,-0.43032270195780087
147,0.6653150908656752,0.4900712720988895,-0.3575884340582689
148,0.6399390651801989,0.4900712720988895,-0.30580815814698115
149,0.6847445371849328,0.4900712720988895,-0.3972345986580519
150,0.6743634870511408,0.4900712720988895,-0.3760518631564751
151,0.6849946615043293,0.4900712720988895,-0.3977449822157848
152,0.5772546002750005,0.4900712720988895,-0.1778992835118045
153,0.6219170508999373,0.4900712720988895,-0.2690338861047199
154,0.7101035195004178,0.4900712720988895,-0.44898009724007837
155,0.622522729570343,0.4900712720988895,-0.27026978525835044
156,0.6601310280755099,0.4900712720988895,-0.34701025270933394
157,0.709487658871628,0.4900712720988895,-0.4477234216015489
158,0.6418516193806307,0.4900712720988895,-0.30971076233808303
159,0.6677558928548124,0.4900712720988895,-0.3625689381769528
160,0.6310396073600968,0.4900712720988895,-0.2876486406915153
161,0.5915402613784677,0.4900712720988895,-0.2070494539396368
162,0.7343265206269524,0.4900712720988895,-0.49840760402453377
163,0.6543115942169855,0.4900712720988895,-0.3351355842889614
164,0.7004222990703074,0.4900712720988895,-0.42922537791395365
165,0.6501132717255036,0.4900712720988895,-0.326568825267358
166,0.6623634461307147,0.4900712720988895,-0.35156554534186024
167,0.7122458095089146,0.4900712720988895,-0.45335148183342877
168,0.6909844569565293,0.4900712720988895,-0.409967276794585
169,0.6097656649255956,0.4900712720988895,-0.24423874575238003
170,0.7273173866169613,0.4900712720988895,-0.4841053292146431
171,0.6656815239782696,0.4900712720988895,-0.3583361479796032
172,0.5844338700731943,0.4900712720988895,-0.19254872371964638
173,0.6643339035675069,0.4900712720988895,-0.35558630221739174
174,0.6845219533915324,0.4900712720988895,-0.39678041208137893
175,0.6734093702667364,0.4900712720988895,-0.37410496922752046
176,0.670866112585702,0.4900712720988895,-0.36891540226893893
177,0.6579244620591015,0.4900712720988895,-0.3425077116667665
178,0.6659044625725291,0.4900712720988895,-0.3587910585343572
179,0.6447160074121059,0.4900712720988895,-0.31555560204722877
180,0.7347620947023288,0.4900712720988895,-0.4992964014304926
181,0.7171132421063658,0.4900712720988895,-0.46328357309151236
182,0.6852880700303804,0.4900712720988895,-0.39834368804237696
183,0.599643825291366,0.4900712720988895,-0.2235849343365841
184,0.642967153518099,0.4900712720988895,-0.31198703152784923
185,0.6051109415713065,0.4900712720988895,-0.23474069185839497
186,0.6976650754339221,0.4900712720988895,-0.42359920924551364
187,0.6682739806691969,0.4900712720988895,-0.3636261064785462
188,0.6689646084416219,0.4900712720988895,-0.36503534593358933
189,0.6524311414737928,0.4900712720988895,-0.3312984837481787
190,0.6383362577947717,0.4900712720988895,-0.3025375983801073
191,0.6419984347606243,0.4900712720988895,-0.31001034198772226
192,0.7141273759494825,0.4900712720988895,-0.45719085489545197
193,0.6764536926239527,0.4900712720988895,-0.38031696844179397
194,0.6707195134974033,0.4900712720988895,-0.36861626396672675
195,0.7155106303266835,0.4900712720988895,-0.4600134124619806
196,0.653989744670828,0.4900712720988895,-0.3344788440054942
197,0.7194528488198659,0.4900712720988895,-0.46805758627428884
198,0.696979617705591,0.4900712720988895,-0.422200519366396
