scope,seed,score,initial_source_spearman,source_weight,first_hit_rank,first_hit_fraction,top10_recall_top5,top10_enrichment,score_outcome_spearman,ensemble_spread_absolute_error_spearman,ensemble_spread_outcome_spearman,target_mean_outcome_spearman,mean_absolute_error
official_test,48,equal_positive_rank_fusion,0.12308035940075893,,1.0,0.00909090909090909,0.3333333333333333,3.333333333333333,0.4845766251460254,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
official_test,48,credibility_weighted_signed_rank_fusion,0.12308035940075893,0.12308035940075893,6.0,0.05454545454545454,0.16666666666666666,1.6666666666666665,0.549193883931833,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
official_test,48,target_mean_novelty_rank_fusion,0.12308035940075893,,1.0,0.00909090909090909,0.5,5.0,0.5151236423825333,0.48707746834035776,-0.30833021734441274,0.539283642010028,2.590061685385046
hard_ood_40pct,48,target_mean,0.12308035940075893,,1.0,0.022727272727272728,0.6666666666666666,5.866666666666666,0.4110402653170348,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
hard_ood_40pct,48,ucb_beta_0.25,0.12308035940075893,,2.0,0.045454545454545456,0.3333333333333333,2.933333333333333,0.4049696036620004,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
hard_ood_40pct,48,ucb_beta_0.5,0.12308035940075893,,2.0,0.045454545454545456,0.3333333333333333,2.933333333333333,0.35322780141618443,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
hard_ood_40pct,48,ucb_beta_1,0.12308035940075893,,7.0,0.1590909090909091,0.0,0.0,0.29640358476150247,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
hard_ood_40pct,48,ucb_beta_2,0.12308035940075893,,27.0,0.6136363636363636,0.0,0.0,0.04362405700943285,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
hard_ood_40pct,48,ensemble_spread_only,0.12308035940075893,,31.0,0.7045454545454546,0.0,0.0,-0.29887420287692346,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
hard_ood_40pct,48,composition_novelty_only,0.12308035940075893,,1.0,0.022727272727272728,0.3333333333333333,2.933333333333333,0.07140594612784544,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
hard_ood_40pct,48,thermoelectric_prior_high,0.12308035940075893,,3.0,0.06818181818181818,0.3333333333333333,2.933333333333333,0.6674668462326426,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
hard_ood_40pct,48,thermoelectric_prior_low,0.12308035940075893,,22.0,0.5,0.0,0.0,-0.6674668462326426,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
hard_ood_40pct,48,equal_positive_rank_fusion,0.12308035940075893,,1.0,0.022727272727272728,0.3333333333333333,2.933333333333333,0.5948942929567287,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
hard_ood_40pct,48,credibility_weighted_signed_rank_fusion,0.12308035940075893,0.12308035940075893,1.0,0.022727272727272728,0.6666666666666666,5.866666666666666,0.4469536953206003,0.38797239793787236,-0.29887420287692346,0.4110402653170348,2.7748956315031594
