system_id,doi,adsorbent_id,adsorbent_name,adsorbate_id,adsorbate_name,adsorption_unit,uptake_log_fraction,target_uptake,n_temperatures,n_isotherms,temperature_min_K,temperature_max_K,temperature_span_K,temperature_harmonic_K,Qst_kJ_mol,vanthoff_intercept,vanthoff_slope,vanthoff_r2,residual_sd,temperatures_json
00f616095d803ebaee35,10.1021/acs.langmuir.5b02390,NIST-MATDB-6879515ed690fea6c4270f2ce3f002e7,PF-800 ZnCl2,CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,0.620105321618836,3,3,273.0,323.0,50.0,296.5985018078386,24.22787247466174,7.619611021657098,-2913.9432802024066,0.9998206662399836,0.01566569735963869,"[273.0,298.0,323.0]"
516204d104bffe8ef1cf,10.1021/acs.langmuir.5b02390,NIST-MATDB-a725006d4c48604d4cb358c596baabef,PF-600 KOH,VNWKTOKETHGBQD-UHFFFAOYSA-N,Methane,mmol/g,0.5,0.6021710159913046,3,3,273.0,323.0,50.0,296.5985018078386,21.925031352181676,7.5745667244321355,-2636.9751551124946,0.9999168655029815,0.00965191289305615,"[273.0,298.0,323.0]"
b5ff44399c8500cfae81,10.1021/acs.langmuir.7b02686,NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f,Zeolite 13X,CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,1.2125891307446228,5,5,298.0,413.0,115.0,344.21633350660517,24.053621671509937,5.780495712025937,-2892.9857257392528,0.9467766441057892,0.2976021529409798,"[298.0,318.0,338.0,378.0,413.0]"
87c9707f523f7e1c9c56,10.1021/acs.langmuir.7b02686,NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f,Zeolite 13X,IJGRMHOSHXDMSA-UHFFFAOYSA-N,Nitrogen,mmol/g,0.5,0.09200499769034291,5,5,298.0,413.0,115.0,343.37802602454985,19.091488695302377,6.0909379382064035,-2296.178306655598,0.9919964435933999,0.0880957638716672,"[298.0,318.0,338.0,373.0,413.0]"
1d56efc4a95969d30867,10.1021/acs.langmuir.7b02686,NIST-MATDB-f20f8d9a6badff95e3125811355a12b6,MSC5A,OTMSDBZUPAUEDD-UHFFFAOYSA-N,Ethane,mmol/g,0.5,1.0359639182905938,3,3,279.0,323.0,44.0,300.58509923933025,37.2312748279224,11.765594615880646,-4477.893104797192,0.9999950419360032,0.0034575981782853267,"[279.0,303.0,323.0]"
56c2672c9db91c55027d,10.1021/acsami.5b07953,NIST-MATDB-b326c3dbf440a20fdd9fa30b84918fb1,NPC-7-Cu,VNWKTOKETHGBQD-UHFFFAOYSA-N,Methane,mmol/g,0.5,1.1757059229926505,4,4,273.0,303.0,30.0,287.565552967918,14.659861758769535,6.83617932359589,-1763.176098328012,0.9941624071892913,0.025831734307113947,"[273.0,283.0,293.0,303.0]"
1d3b8391e6f123445625,10.1021/acsami.5b07953,NIST-MATDB-b326c3dbf440a20fdd9fa30b84918fb1,NPC-7-Cu,CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,2.863594312014186,4,4,273.0,303.0,30.0,287.565552967918,23.627616726018115,10.094014413495314,-2841.749107685103,0.9982997172600158,0.02242257450673835,"[273.0,283.0,293.0,303.0]"
db9b3207782657e05c3c,10.1021/acsami.7b08032,NIST-MATDB-73e5465510f51c0108e61909e47d533c,TpPa-1-nc,CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,cm3(STP)/g,0.5,7.312322727287137,3,3,195.0,298.0,103.0,246.97632058287795,20.9825235167776,6.551940211718112,-2523.6175181022245,0.9932294707321445,0.2791012873940982,"[195.0,273.0,298.0]"
49117aa0d59bee16a8c1,10.1021/acsami.7b08032,NIST-MATDB-73e5465510f51c0108e61909e47d533c,TpPa-1-nc,IJGRMHOSHXDMSA-UHFFFAOYSA-N,Nitrogen,cm3(STP)/g,0.5,0.5145357423075679,3,3,195.0,298.0,103.0,246.97632058287795,12.515818637933087,4.269496050246642,-1505.3069828718562,0.99793732792805,0.09167276521297069,"[195.0,273.0,298.0]"
cb5d4db57ec409a7478d,10.1021/acsmacrolett.6b00805,NIST-MATDB-f4673669b570d295bec062da3dbbeee1,brick-wall COF,CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mg/g,0.5,16.39305765255524,3,3,195.0,298.0,103.0,246.97632058287795,31.74337523190129,12.521119912311217,-3817.8504961457083,0.99966631923862,0.09343482287497112,"[195.0,273.0,298.0]"
44262bb5445f7b099b14,10.1021/am404952z,NIST-MATDB-c0fbfed4724d172cf9d09810605ce826,Graphite Oxide Cu-BTC (1st cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.924095284317138,3,3,276.0,319.0,43.0,296.9571910403875,25.213897927314562,10.558085001622048,-3032.5348835250315,0.9989573086331744,0.033947264412195394,"[276.0,299.0,319.0]"
17fe1c56d5d9a556d95a,10.1021/am404952z,NIST-MATDB-8b602c9f4bea3f3e427f02b9c68169db,Graphite Oxide Cu-BTC (2nd cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.8766431539542046,3,3,276.0,319.0,43.0,296.9571910403875,23.89458079217746,10.034079900774653,-2873.8575046338697,0.9998911173429635,0.010391130135225395,"[276.0,299.0,319.0]"
29c25877ecd86aa6a440,10.1021/am404952z,NIST-MATDB-19e421ef0dc17ba45425ec03725d2e2f,Graphite Oxide Cu-BTC (3rd cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.8909403031272536,3,3,276.0,319.0,43.0,296.9571910403875,23.322672019514528,9.846881421504944,-2805.072689676104,0.9941805417707169,0.07436135954562513,"[276.0,299.0,319.0]"
9503d74a0b3e30a5c6cd,10.1021/am404952z,NIST-MATDB-f7d31e1fd28ba6fbb192ff53fd0bea3a,Graphite Oxide Cu-BTC (4th cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.9193756774006747,3,3,276.0,319.0,43.0,296.9571910403875,24.332922113025845,10.241261510946185,-2926.577847604844,0.9999282278422877,0.008591089060992837,"[276.0,299.0,319.0]"
ca35692762961bea1dcf,10.1021/am404952z,NIST-MATDB-2f934b82360475b4483ff95481efe325,Graphite Oxide/Urea Cu-BTC 1 (1st cycle),CURLTUGMZLYLDI-UHFFFAOYSA-N,Carbon Dioxide,mmol/g,0.5,3.2502877071422454,3,3,277.0,319.0,42.0,296.346553163204,24.256762994293677,10.561246314886791,-2917.4180110369475,0.9997396688644475,0.01582439430424959,"[277.0,296.0,319.0]"
