edge_id,source_evaluated,learner_evaluated,repeat,pool,candidate_n,baseline_fraction_to_first_hit,augmented_fraction_to_first_hit,baseline_first_hit_rank,augmented_first_hit_rank,baseline_top10_recall_top5,augmented_top10_recall_top5,baseline_top10_enrichment,augmented_top10_enrichment,baseline_top10_regret,augmented_top10_regret,baseline_spearman_rho,augmented_spearman_rho,effect_fraction_to_first_hit,effect_top10_recall_top5,effect_top10_enrichment,effect_top10_regret_reduction,effect_spearman_rho,analysis_family,edge_role
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,18,year1_to_year2,51,0.1568627450980392,0.1568627450980392,8.0,8.0,0.0,0.0,0.0,0.0,0.23917810886877566,0.23917810886877566,0.15583710407239815,0.1560180995475113,0.0,0.0,0.0,0.0,0.0001809954751131604,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,18,years1_2_to_year3,20,0.4,0.5,8.0,10.0,0.0,0.0,0.0,0.0,0.15917615888665626,0.08291303060594002,0.3969924812030075,0.33684210526315783,-0.09999999999999998,0.0,0.0,0.07626312828071624,-0.060150375939849676,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,19,year1_to_year2,51,0.23529411764705882,0.1568627450980392,12.0,8.0,0.0,0.0,0.0,0.0,0.23917810886877566,0.2217863493931298,0.3754751131221719,0.4407239819004525,0.0784313725490196,0.0,0.0,0.017391759475645863,0.06524886877828057,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,19,years1_2_to_year3,20,0.45,0.5,9.0,10.0,0.0,0.0,0.0,0.0,0.18774732244163772,0.18774732244163772,0.3037593984962406,0.31127819548872177,-0.04999999999999999,0.0,0.0,0.0,0.007518796992481147,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,20,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.6666666666666666,0.6666666666666666,5.666666666666666,5.666666666666666,0.0,0.0,0.5680542986425339,0.573393665158371,0.0,0.0,0.0,0.0,0.005339366515837107,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,20,years1_2_to_year3,20,0.3,0.35,6.0,7.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,0.3488721804511278,0.3398496240601503,-0.04999999999999999,0.0,0.0,0.0,-0.009022556390977488,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,21,year1_to_year2,51,0.11764705882352941,0.11764705882352941,6.0,6.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.0,0.13146759071688052,0.4294117647058823,0.45610859728506786,0.0,0.0,0.0,-0.13146759071688052,0.026696832579185537,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,21,years1_2_to_year3,20,0.45,0.45,9.0,9.0,0.0,0.0,0.0,0.0,0.18774732244163772,0.18774732244163772,0.33383458646616543,0.31729323308270674,0.0,0.0,0.0,0.0,-0.01654135338345869,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,22,year1_to_year2,51,0.0784313725490196,0.11764705882352941,4.0,6.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.0,0.0,0.45692307692307693,0.47547511312217194,-0.0392156862745098,0.0,0.0,0.0,0.018552036199095012,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,22,years1_2_to_year3,20,0.65,0.65,13.0,13.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,-0.19548872180451127,-0.19248120300751878,0.0,0.0,0.0,0.0,0.0030075187969924866,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,23,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.13146759071688052,0.13146759071688052,0.576923076923077,0.5780995475113122,0.0,0.0,0.0,0.0,0.0011764705882352233,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,23,years1_2_to_year3,20,0.35,0.4,7.0,8.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,0.26165413533834586,0.28872180451127816,-0.050000000000000044,0.0,0.0,0.0,0.027067669172932296,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,24,year1_to_year2,51,0.0392156862745098,0.0392156862745098,2.0,2.0,0.6666666666666666,0.6666666666666666,5.666666666666666,5.666666666666666,0.0,0.0,0.5094117647058823,0.5375565610859728,0.0,0.0,0.0,0.0,0.028144796380090487,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,24,years1_2_to_year3,20,0.25,0.5,5.0,10.0,0.0,0.0,0.0,0.0,0.09757556374736609,0.09757556374736609,0.5233082706766917,0.3714285714285714,-0.25,0.0,0.0,0.0,-0.15187969924812034,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,25,year1_to_year2,51,0.058823529411764705,0.058823529411764705,3.0,3.0,0.3333333333333333,0.3333333333333333,2.833333333333333,2.833333333333333,0.0,0.0,0.4617194570135747,0.48343891402714934,0.0,0.0,0.0,0.0,0.02171945701357464,primary,named-edge
birdshot_temporal_alloy_uts_to_ys,alloy_uts,ridge-primary,25,years1_2_to_year3,20,0.3,0.4,6.0,8.0,0.0,0.0,0.0,0.0,0.10413605247227009,0.10413605247227009,0.45714285714285713,0.3714285714285714,-0.10000000000000003,0.0,0.0,0.0,-0.08571428571428574,primary,named-edge
