composition_key,band_gap,band_gap_q25,band_gap_q75,n_dois,n_extractions,element_system,formula_name,band_gap_iqr
Ag:0.11764706|I:0.17647059|O:0.64705882|V:0.05882353,1.94,1.94,1.94,1,2,Ag-I-O-V,Ag2(VO2)(IO3)3,0.0
Ag:0.11764706|Nb:0.23529412|O:0.64705882,3.4,3.4,3.4,1,1,Ag-Nb-O,Ag2Nb4O11,0.0
Ag:0.11764706|O:0.64705882|Ta:0.23529412,4.0,4.0,4.0,1,1,Ag-O-Ta,Ag2Ta4O11,0.0
Ag:0.12500000|Ba:0.25000000|In:0.12500000|S:0.50000000,1.525,1.525,1.525,1,2,Ag-Ba-In-S,Ba2AgInS4,0.0
Ag:0.12500000|Bi:0.06250000|C:0.18750000|Cl:0.06250000|N:0.25000000|O:0.25000000|V:0.06250000,2.4,2.4,2.4,1,1,Ag-Bi-C-Cl-N-O-V,g-C3N4 / Ag / AgCl / BiVO4,0.0
Ag:0.12500000|C:0.25000000|H:0.33333333|N:0.04166667|O:0.16666667|P:0.08333333,2.4,2.4,2.4,1,1,Ag-C-H-N-O-P,Ag3PO4 / PAN,0.0
Ag:0.12500000|C:0.37500000|N:0.50000000,2.62,2.6100000000000003,2.63,2,2,Ag-C-N,Ag / g-C3N4,0.019999999999999574
Ag:0.12500000|Cu:0.12500000|In:0.25000000|S:0.50000000,1.5,1.5,1.5,1,1,Ag-Cu-In-S,AgInS2-CuInS2,0.0
Ag:0.12500000|Cu:0.12500000|S:0.50000000|Sn:0.12500000|Zn:0.12500000,1.4,1.4,1.4,1,1,Ag-Cu-S-Sn-Zn,CuAgZnSnS4,0.0
Ag:0.12500000|Mn:0.25000000|O:0.50000000|Zn:0.12500000,3.31,3.31,3.31,1,1,Ag-Mn-O-Zn,ZnO / Ag / Mn2O3,0.0
Ag:0.14285714|Bi:0.14285714|O:0.57142857|P:0.14285714,3.68,3.68,3.68,1,1,Ag-Bi-O-P,Ag / BiPO4,0.0
Ag:0.14285714|Bi:0.28571429|I:0.14285714|O:0.42857143,2.7249999999999996,2.6599999999999997,2.79,2,3,Ag-Bi-I-O,AgI / Bi2O3,0.13000000000000034
Ag:0.14285714|Cl:0.07142857|La:0.14285714|O:0.50000000|Ti:0.14285714,2.91,2.91,2.91,1,1,Ag-Cl-La-O-Ti,Ag @ AgCl / La2Ti2O7,0.0
Ag:0.14285714|Cs:0.28571429|F:0.57142857,2.0,2.0,2.0,1,1,Ag-Cs-F,Cs2AgF4,0.0
Ag:0.14285714|Ga:0.14285714|Ge:0.14285714|S:0.57142857,1.63,0.9450000000000001,2.315,2,2,Ag-Ga-Ge-S,AgGaGeS4,1.3699999999999999
Ag:0.14285714|Ga:0.14285714|Se:0.57142857|Si:0.14285714,2.63,2.63,2.63,1,1,Ag-Ga-Se-Si,AgGaSiSe4,0.0
