draw,model,anchor_indices,evaluation_formulations,pairwise_concordance,eligible_pairs
71,target_linear,"[2, 13, 16]",16,0.7058823529411765,102
72,calisol_rank_score,"[8, 13, 16]",16,0.5436893203883495,103
72,target_extra_trees,"[8, 13, 16]",16,0.7211538461538461,104
72,target_hist_gradient_boosting,"[8, 13, 16]",16,,0
72,target_linear,"[8, 13, 16]",16,0.6923076923076923,104
73,calisol_rank_score,"[1, 11, 13]",16,0.5979381443298969,97
73,target_extra_trees,"[1, 11, 13]",16,0.8041237113402062,97
73,target_hist_gradient_boosting,"[1, 11, 13]",16,,0
73,target_linear,"[1, 11, 13]",16,0.5463917525773195,97
74,calisol_rank_score,"[8, 13, 15]",16,0.5825242718446602,103
74,target_extra_trees,"[8, 13, 15]",16,0.5865384615384616,104
74,target_hist_gradient_boosting,"[8, 13, 15]",16,,0
74,target_linear,"[8, 13, 15]",16,0.6442307692307693,104
75,calisol_rank_score,"[4, 8, 18]",16,0.5727272727272728,110
75,target_extra_trees,"[4, 8, 18]",16,0.6055045871559633,109
75,target_hist_gradient_boosting,"[4, 8, 18]",16,,0
75,target_linear,"[4, 8, 18]",16,0.42342342342342343,111
76,calisol_rank_score,"[0, 13, 17]",16,0.6237623762376238,101
76,target_extra_trees,"[0, 13, 17]",16,0.7254901960784313,102
76,target_hist_gradient_boosting,"[0, 13, 17]",16,,0
76,target_linear,"[0, 13, 17]",16,0.696078431372549,102
77,calisol_rank_score,"[8, 9, 13]",16,0.5454545454545454,99
77,target_extra_trees,"[8, 9, 13]",16,0.75,100
77,target_hist_gradient_boosting,"[8, 9, 13]",16,,0
77,target_linear,"[8, 9, 13]",16,0.66,100
78,calisol_rank_score,"[4, 8, 18]",16,0.5727272727272728,110
78,target_extra_trees,"[4, 8, 18]",16,0.6055045871559633,109
78,target_hist_gradient_boosting,"[4, 8, 18]",16,,0
78,target_linear,"[4, 8, 18]",16,0.42342342342342343,111
79,calisol_rank_score,"[4, 8, 18]",16,0.5727272727272728,110
79,target_extra_trees,"[4, 8, 18]",16,0.6055045871559633,109
79,target_hist_gradient_boosting,"[4, 8, 18]",16,,0
79,target_linear,"[4, 8, 18]",16,0.42342342342342343,111
80,calisol_rank_score,"[8, 13, 15]",16,0.5825242718446602,103
80,target_extra_trees,"[8, 13, 15]",16,0.5865384615384616,104
80,target_hist_gradient_boosting,"[8, 13, 15]",16,,0
80,target_linear,"[8, 13, 15]",16,0.6442307692307693,104
81,calisol_rank_score,"[8, 13, 17]",16,0.5533980582524272,103
81,target_extra_trees,"[8, 13, 17]",16,0.75,104
81,target_hist_gradient_boosting,"[8, 13, 17]",16,,0
81,target_linear,"[8, 13, 17]",16,0.7019230769230769,104
82,calisol_rank_score,"[8, 12, 13]",16,0.5353535353535354,99
82,target_extra_trees,"[8, 12, 13]",16,0.7676767676767676,99
82,target_hist_gradient_boosting,"[8, 12, 13]",16,,0
82,target_linear,"[8, 12, 13]",16,0.65,100
83,calisol_rank_score,"[8, 11, 13]",16,0.55,100
83,target_extra_trees,"[8, 11, 13]",16,0.74,100
83,target_hist_gradient_boosting,"[8, 11, 13]",16,,0
83,target_linear,"[8, 11, 13]",16,0.66,100
