target,method,learner,repeat,train_n,sources,q1_relative_rmse_gain,q4_relative_rmse_gain,gain_specific,q4_r2
hydration,mechanism_bundle,random_forest,0,30,solubility|pka_acid|pka_base,0.0649461388765263,-0.05573068092601614,-0.12067681980254244,-0.21362101299494052
hydration,all_five,random_forest,0,30,solubility|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.03971711336453155,0.00969729351571172,-0.03001981984881983,-0.06785610152592869
hydration,primary,extra_trees,0,30,solubility,0.043490111180306636,-0.005064236166590012,-0.04855434734689665,-0.03512471144201679
hydration,mechanism_bundle,extra_trees,0,30,solubility|pka_acid|pka_base,0.07410290114817603,-0.00025053692511015237,-0.07435343807328618,-0.025233111506527406
hydration,all_five,extra_trees,0,30,solubility|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.0564798110255608,0.00018872815159677315,-0.056291082873964025,-0.024332836628973453
hydration,primary,ridge_alpha_10,1,30,solubility,0.04741240566040867,-0.0003554852207041708,-0.04776789088111284,-0.16061668065169687
hydration,mechanism_bundle,ridge_alpha_10,1,30,solubility|pka_acid|pka_base,0.04779956456932633,0.0027704276985202995,-0.045029136870806036,-0.15337461848551004
hydration,all_five,ridge_alpha_10,1,30,solubility|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.042068824335168606,0.0077786410251153145,-0.03429018331005329,-0.1418189215354244
hydration,primary,random_forest,1,30,solubility,0.16727426242377752,0.0003937639784789485,-0.16688049844529856,-0.21697752637687118
hydration,mechanism_bundle,random_forest,1,30,solubility|pka_acid|pka_base,0.1089599385894904,0.046712026657151684,-0.06224791193233871,-0.10680948618477681
hydration,all_five,random_forest,1,30,solubility|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.17574428419576582,0.13291789050042657,-0.04282639369533925,0.08431711740662151
hydration,primary,extra_trees,1,30,solubility,0.048748485587066216,0.007035866233306394,-0.04171261935375982,-0.3956117995880237
hydration,mechanism_bundle,extra_trees,1,30,solubility|pka_acid|pka_base,0.10471072573165394,0.02660504351453679,-0.07810568221711714,-0.34114486839493785
hydration,all_five,extra_trees,1,30,solubility|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.07344632138983984,0.04827965434320666,-0.025166667046633173,-0.28208322006871356
hydration,primary,ridge_alpha_10,2,30,solubility,0.0299040999689152,-0.01029529684807189,-0.04019939681698709,-0.08654298329690091
hydration,mechanism_bundle,ridge_alpha_10,2,30,solubility|pka_acid|pka_base,0.02310260938909099,0.0015657614102456753,-0.021536847978845315,-0.06118030264801644
hydration,all_five,ridge_alpha_10,2,30,solubility|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.013255091275779372,0.009506405162477898,-0.0037486861133014734,-0.044368085653888834
hydration,primary,random_forest,2,30,solubility,0.013680563949526926,-0.061055634810711294,-0.07473619876023822,-0.5177690433791544
hydration,mechanism_bundle,random_forest,2,30,solubility|pka_acid|pka_base,0.09509963834612951,-0.026385507677591402,-0.12148514602372092,-0.42020291948582966
hydration,all_five,random_forest,2,30,solubility|pka_acid|pka_base|photo_e_pipi|polymer_tg,0.08814495112598975,-0.003531781464888617,-0.09167673259087836,-0.3576619309780886
hydration,primary,extra_trees,2,30,solubility,-0.005174544932312669,-0.024633393278399324,-0.019458848346086657,-0.38838557246787064
hydration,mechanism_bundle,extra_trees,2,30,solubility|pka_acid|pka_base,0.010845922398764326,-0.03027731134781481,-0.041123233746579134,-0.4037227956000393
hydration,all_five,extra_trees,2,30,solubility|pka_acid|pka_base|photo_e_pipi|polymer_tg,-0.006844010407143095,0.0014654034381110892,0.008309413845254184,-0.3185582305155059
polymer_tensile,primary,ridge_alpha_10,0,15,polymer_young,0.02282658426509158,0.015085975655267312,-0.007740608609824269,-0.30164225462757455
polymer_tensile,mechanism_bundle,ridge_alpha_10,0,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg,0.03764245738019697,0.0779986625382663,0.040356205158069335,-0.14066495185957129
polymer_tensile,all_five,ridge_alpha_10,0,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg|photo_e_pipi,0.036404641166521735,0.07857801242018997,0.04217337125366823,-0.13923190300393684
polymer_tensile,primary,random_forest,0,15,polymer_young,0.10737897292602296,0.07884838220586171,-0.028530590720161245,-0.15548840257197494
polymer_tensile,mechanism_bundle,random_forest,0,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg,0.08657932968159476,0.27703979027626574,0.19046046059467098,0.28824235098192585
polymer_tensile,all_five,random_forest,0,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg|photo_e_pipi,0.06342150589095971,0.25826610960514645,0.19484460371418674,0.25079684431978866
polymer_tensile,primary,extra_trees,0,15,polymer_young,0.11340872808546043,0.21802027961821596,0.10461155153275553,-0.1714699669604376
polymer_tensile,mechanism_bundle,extra_trees,0,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg,0.1622763798784626,0.31255156258133754,0.15027518270287493,0.09464180583212722
polymer_tensile,all_five,extra_trees,0,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg|photo_e_pipi,0.13486881768628445,0.321770672075347,0.18690185438906254,0.11876181064385749
polymer_tensile,primary,ridge_alpha_10,1,15,polymer_young,0.018947936437267186,-0.022867369822409805,-0.04181530625967699,-0.04504219952939126
polymer_tensile,mechanism_bundle,ridge_alpha_10,1,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg,0.039154770039008434,-0.005290769312270246,-0.04444553935127868,-0.009435487227831274
polymer_tensile,all_five,ridge_alpha_10,1,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg|photo_e_pipi,0.035856728581077656,-0.016930911232049994,-0.052787639813127646,-0.032947088955542325
polymer_tensile,primary,random_forest,1,15,polymer_young,0.2069361605119743,-0.1502728288324677,-0.357208989344442,-0.6472649027557509
polymer_tensile,mechanism_bundle,random_forest,1,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg,0.280453447895739,0.008006664241014198,-0.2724467836547248,-0.22512169878820143
polymer_tensile,all_five,random_forest,1,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg|photo_e_pipi,0.27890038405975265,0.012087093038957563,-0.2668132910207951,-0.21506368673344012
polymer_tensile,primary,extra_trees,1,15,polymer_young,0.05775484577385464,0.04816566961978548,-0.009589176154069158,-0.45107409162699574
polymer_tensile,mechanism_bundle,extra_trees,1,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg,0.18200336724303967,0.23693049204457178,0.05492712480153211,0.06740075863703388
polymer_tensile,all_five,extra_trees,1,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg|photo_e_pipi,0.15267863325210687,0.19471666235219623,0.04203802910008936,-0.03863818400143115
polymer_tensile,primary,ridge_alpha_10,2,15,polymer_young,-0.0018593776025708272,0.003263290898518866,0.005122668501089693,-0.03904406431001739
polymer_tensile,mechanism_bundle,ridge_alpha_10,2,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg,0.0627084348883813,0.04218781451023861,-0.020520620378142694,0.04052475325733307
polymer_tensile,all_five,ridge_alpha_10,2,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg|photo_e_pipi,0.053429389663670994,0.02855207567614523,-0.024877313987525764,0.013011463725278949
polymer_tensile,primary,random_forest,2,15,polymer_young,-0.1104809690976147,-0.022619510388886294,0.08786145870872841,-0.2932106641748833
polymer_tensile,mechanism_bundle,random_forest,2,15,polymer_young|polymer_hardness|polymer_elongation|polymer_tg,-0.33762129137015356,0.21120519374093125,0.5488264851110848,0.23056982635738243
