scope,source,candidate_index,material_key,material_raw,is_true_top5_hit,target_value,selection_frequency_top20,median_selected_step,gate_frequency,mean_source_rank,mean_qualification,mean_target_ood,mean_source_support,mean_local_concordance,mean_source_score
external_candidate,estm_transport_neighbor,278,I:0.07574598317|Li:0.4644223412|S:0.3833205815|Sb:0.05049732211|Si:0.026013772,Li6.07Si0.34Sb0.66S5.01I0.99,False,-2.382999658879101,0.0,,0.0,0.9791666666666665,0.14874486711822557,0.32645833333333335,0.2569444444444444,0.15407094973571678,0.0
external_candidate,estm_transport_neighbor,283,I:0.07646622123|Li:0.4803266518|S:0.3689680772|Sb:0.05939123979|Sn:0.01484780995,Li6.47Sn0.2Sb0.8S4.97I1.03,False,-3.9208187539523753,0.0,,0.0,0.9930555555555556,0.14874486711822557,0.37,0.23611111111111113,0.1533020254087454,0.0
external_candidate,estm_transport_neighbor,286,I:0.07927786499|Li:0.4505494505|S:0.3916797488|Sb:0.07221350078|Si:0.006279434851,Li5.74Si0.08Sb0.92S4.99I1.01,False,-5.173925197299174,0.0,,0.0,1.0,0.14874486711822557,0.38930555555555557,0.24305555555555558,0.14998102126003782,0.0
external_candidate,estm_transport_neighbor,293,In:0.05660377358|Li:0.1090146751|O:0.6289308176|P:0.1572327044|Ti:0.04821802935,Li2.08Ti0.92In1.08P3O12,False,-5.080921907623926,0.09,30.0,0.66,0.375,0.14874486711822557,0.9163888888888888,0.5,0.179163443946878,0.006455389013951553
external_candidate,estm_transport_neighbor,294,In:0.2|Li:0.1|O:0.6|Sb:0.1,LiIn2SbO6,False,-14.498940737782249,0.41,22.0,0.59,0.35416666666666674,0.14874486711822557,1.0,0.8402777777777779,0.1407406550687914,0.009341779663835766
external_candidate,estm_transport_neighbor,295,K:0.02|Li:0.18|O:0.6|Sb:0.2,(K0.1Li0.9)(SbO3),False,-7.866461091629782,0.33,24.0,0.61,0.38888888888888895,0.14874486711822557,0.9209027777777777,0.9166666666666665,0.1510838701309941,0.010606540445228262
external_candidate,estm_transport_neighbor,310,La:0.09090909091|Li:0.09090909091|Nb:0.1818181818|O:0.6363636364,LiLaNb2O7,False,-11.30539480106643,0.02,36.0,0.46,0.32638888888888895,0.14874486711822557,0.4849305555555556,0.8055555555555556,0.16841924948340736,0.004486731755119699
external_candidate,estm_transport_neighbor,315,La:0.1160164271|Li:0.06262833676|O:0.6160164271|Ti:0.205338809,La0.565Li0.305TiO3,False,-3.0190880622231564,0.32,2.0,0.23,0.47916666666666674,0.14874486711822557,0.2770138888888889,0.9513888888888888,0.19777634944170064,0.002747383258477452
external_candidate,estm_transport_neighbor,317,La:0.1195876289|Li:0.05567010309|O:0.618556701|Ti:0.206185567,La0.58Li0.27TiO3,False,-3.2225731776106885,0.35,5.0,0.24,0.4722222222222222,0.14874486711822557,0.28791666666666665,0.9652777777777779,0.19732180398715518,0.002898784419035859
external_candidate,estm_transport_neighbor,319,La:0.1237006237|Li:0.0446985447|O:0.6237006237|Ti:0.2079002079,La0.595Li0.215TiO3,False,-3.0690509688324767,0.37,7.0,0.26,0.4652777777777778,0.14874486711822557,0.3030555555555556,0.9722222222222221,0.1977784945375165,0.0029621173284638024
external_candidate,estm_transport_neighbor,322,La:0.1260504202|Li:0.2857142857|O:0.5042016807|Ta:0.008403361345|Zr:0.0756302521,Li6.8La3Zr1.8Ta0.2O12,False,-3.1771783546968955,0.03,5.0,0.02,0.33333333333333326,0.14874486711822557,0.09777777777777777,0.7777777777777779,0.18633409538349677,0.0002815911790610389
external_candidate,estm_transport_neighbor,325,La:0.1265822785|Li:0.2827004219|O:0.5063291139|Ta:0.01265822785|Zr:0.07172995781,Li6.7La3Zr1.7Ta0.3O12,False,-3.2975694635544746,0.03,2.0,0.02,0.3402777777777778,0.14874486711822557,0.10173611111111111,0.7708333333333335,0.18622920027860168,0.00034093535470784047
external_candidate,estm_transport_neighbor,327,La:0.1271186441|Li:0.2796610169|O:0.5084745763|Ta:0.01694915254|Zr:0.06779661017,Li6.6La3Zr1.6Ta0.4O12,False,-2.958607314841775,0.03,16.0,0.02,0.3194444444444444,0.14874486711822557,0.10555555555555556,0.7638888888888888,0.18659997980862156,0.00031320056506558153
external_candidate,estm_transport_neighbor,329,La:0.1276595745|Li:0.2765957447|Mo:0.01063829787|O:0.5106382979|Zr:0.07446808511,Li6.5La3Zr1.75Mo0.25O12,False,-3.4775557664936803,0.02,13.0,0.01,0.2916666666666667,0.14874486711822557,0.098125,0.8125,0.1844379547081883,0.00014905822102186122
external_candidate,estm_transport_neighbor,330,La:0.1276595745|Li:0.2765957447|Nb:0.02127659574|O:0.5106382979|Zr:0.06382978723,Li6.5La3Zr1.5Nb0.5O12,False,-2.856985199745905,0.01,3.0,0.0,0.2986111111111111,0.14874486711822557,0.108125,0.8263888888888888,0.18356370625715865,0.0
external_candidate,estm_transport_neighbor,333,La:0.1276595745|Li:0.2765957447|O:0.5106382979|Ta:0.02127659574|Zr:0.06382978723,Li6.5La3Zr1.5Ta0.5O12,False,-2.958607314841775,0.02,9.0,0.01,0.3125,0.14874486711822557,0.11083333333333334,0.7569444444444444,0.18513144834009007,0.00016319432688883105
external_candidate,estm_transport_neighbor,334,La:0.1282051282|Li:0.2735042735|O:0.5128205128|Ta:0.02564102564|Zr:0.05982905983,Li6.4La3Zr1.4Ta0.6O12,False,-3.0109953843014634,0.04,11.0,0.03,0.3055555555555556,0.14874486711822557,0.1259722222222222,0.75,0.18390767211631384,0.0003408743753553164
external_candidate,estm_transport_neighbor,335,La:0.1293103448|Li:0.2672413793|O:0.5172413793|Ta:0.03448275862|Zr:0.05172413793,Li6.2La3Zr1.2Ta0.8O12,False,-3.2358238676096693,0.04,4.5,0.04,0.2847222222222222,0.14874486711822557,0.1459027777777778,0.7361111111111112,0.1826838958925376,0.00041845888803354755
