edge_id,programme,target_task,source,evidence_set,relation,target_domain,source_domain,neighborhood,source_quality_r2,effect_relative_rmse,effect_ci_lo,effect_ci_hi,augmented_r2,reported_status,neighborhood_scaled,source_quality_clipped,credible_positive,strong_neighbor,same_domain,adjacent_condition,cross_dataset,distant_wrong,shuffled
polymer_tm__polymer_tensile,internal_openpoly,polymer_tm,polymer_tensile,internal-confirmation,same-domain,polymer,polymer,1.0,-0.343311334925847,0.0021628671809771,-0.0084251857766217,0.012999040330796,-0.4387430359301237,practically-equivalent,0.3333333333333333,-0.343311334925847,0.0,0.0,1.0,0.0,0.0,0.0,0.0
polymer_tm__polymer_tg,internal_openpoly,polymer_tm,polymer_tg,internal-confirmation,physical-neighbor,polymer,polymer,3.0,0.3201100070924658,-0.0071202196039462,-0.0273916981904679,0.0179379409838026,-0.4663381011671571,unresolved,1.0,0.3201100070924658,1.0,1.0,1.0,0.0,0.0,0.0,0.0
photo_z_pipi__photo_e_npi,internal_photoswitch,photo_z_pipi,photo_e_npi,internal-confirmation,same-domain,molecular photoswitch,molecular photoswitch,2.0,-2.233173711312534,-0.0070517563050991,-0.009055388018268,0.0069529846410461,-0.5726121691711121,practically-equivalent,0.6666666666666666,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
photo_z_pipi__photo_e_pipi,internal_photoswitch,photo_z_pipi,photo_e_pipi,internal-confirmation,physical-neighbor,molecular photoswitch,molecular photoswitch,3.0,-0.2385782814668441,0.0432749907050125,-0.002527183599463,0.0483768768296509,-0.4261285626648821,suggestive-not-confirmed,1.0,-0.2385782814668441,0.0,1.0,1.0,0.0,0.0,0.0,0.0
photo_z_pipi__photo_z_npi,internal_photoswitch,photo_z_pipi,photo_z_npi,internal-confirmation,same-state-neighbor,molecular photoswitch,molecular photoswitch,2.0,-0.9731151172748196,0.0066229823717397,0.004060164488548,0.0726440791244136,-0.5291780085959739,unresolved,0.6666666666666666,-0.9731151172748196,0.0,1.0,1.0,0.0,0.0,0.0,0.0
photo_z_pipi__pka_acid,internal_photoswitch,photo_z_pipi,pka_acid,internal-confirmation,distant-control,molecular photoswitch,aqueous molecular acid-base,0.0,0.2614225157137268,-0.0003767770117531,-0.0043988248351277,0.0003226836812518,-0.5530289760616824,practically-equivalent,0.0,0.2614225157137268,1.0,0.0,0.0,0.0,0.0,1.0,0.0
photo_z_pipi__solubility,internal_photoswitch,photo_z_pipi,solubility,internal-confirmation,distant-control,molecular photoswitch,aqueous molecular thermodynamics,0.0,0.4076258236447208,0.0042318146568444,-0.0246261565969675,0.0127379929360058,-0.5388929060586558,unresolved,0.0,0.4076258236447208,1.0,0.0,0.0,0.0,0.0,1.0,0.0
te_zt__alloy_ys,internal_te,te_zt,alloy_ys,internal-confirmation,distant-control,thermoelectric,multi-principal-element alloy,0.0,0.3150891531964627,0.004437826926092,-0.0391756111147504,0.0382935178124315,-54.48136409050071,unresolved,0.0,0.3150891531964627,1.0,0.0,0.0,0.0,0.0,1.0,0.0
te_zt__catalysis_h2,internal_te,te_zt,catalysis_h2,internal-confirmation,distant-control,thermoelectric,CO2 electroreduction,0.0,0.2364169130709764,-0.0001040021577847,-0.0033421456823323,0.0246724189388206,-54.00410772093824,unresolved,0.0,0.2364169130709764,1.0,0.0,0.0,0.0,0.0,1.0,0.0
te_zt__te_seebeck,internal_te,te_zt,te_seebeck,internal-confirmation,physical-neighbor,thermoelectric,thermoelectric,2.0,0.2060726906664721,-0.0040549171452556,-0.076634679624982,0.005683250027473,-58.99487931493365,unresolved,0.6666666666666666,0.2060726906664721,1.0,1.0,1.0,0.0,0.0,0.0,0.0
kit_conductivity_minus_30_C__shuffled_temperature_-20_C,kit_temperature,kit_conductivity_minus_30_C,shuffled_temperature_-20_C,within-campaign-kit-temperature,shuffled-source-placebo,nan,nan,0.0,-0.2123922855823308,-0.0295627018375946,-0.0431860239301545,-0.0143916087180729,0.7239627413440268,harmful,0.0,-0.2123922855823308,0.0,0.0,1.0,0.0,0.0,0.0,1.0
kit_conductivity_minus_30_C__temperature_-20_C,kit_temperature,kit_conductivity_minus_30_C,temperature_-20_C,within-campaign-kit-temperature,adjacent-condition-primary,nan,nan,3.0,0.8592808928736606,0.1501882606865164,0.086123034436653,0.211030136944933,0.8110159488229737,within-campaign-local-neighbor-rescue-gate-passed,1.0,0.8592808928736606,1.0,1.0,1.0,1.0,0.0,0.0,0.0
