sample_key,material_key,material_raw,source_reference,n_temperature,temperature_min_K,temperature_max_K,temperature_harmonic_K,Ea_eV,lnA,arrhenius_r2,family
Ba:0.19|Bi:0.01|Co:0.1|O:0.6|Ru:0.1@@https://doi.org/10.1021/acs.inorgchem.1c02442,Ba:0.19|Bi:0.01|Co:0.1|O:0.6|Ru:0.1,Ba1.9Bi0.1CoRuO6,https://doi.org/10.1021/acs.inorgchem.1c02442,4,318.0,618.0,440.2559717402932,0.13781660221900333,15.249786517334076,0.9971919159593758,Ba-O
Bi:0.065625|Te:0.375|Tl:0.559375@@https://doi.org/10.1021/cm402593f,Bi:0.065625|Te:0.375|Tl:0.559375,Tl8.95Bi1.05Te6.0,https://doi.org/10.1021/cm402593f,4,322.0,504.0,401.6156860245787,0.13754050856486236,10.026701640395679,0.98454318097121,Te-Tl
Bi:0.08678500986|Mg:0.6055226824|Sb:0.2958579882|Se:0.01183431953@@https://doi.org/10.1021/acs.chemmater.7b01746,Bi:0.08678500986|Mg:0.6055226824|Sb:0.2958579882|Se:0.01183431953,Mg3.07Sb1.5Bi0.44Se0.06,https://doi.org/10.1021/acs.chemmater.7b01746,5,300.0,700.0,457.516339869281,0.01972016975525624,9.554632510253635,0.9546806601705048,Mg-Sb
Bi:0.08875739645|Mg:0.6055226824|Sb:0.2958579882|Se:0.009861932939@@https://doi.org/10.1021/acs.chemmater.7b01746,Bi:0.08875739645|Mg:0.6055226824|Sb:0.2958579882|Se:0.009861932939,Mg3.07Sb1.5Bi0.45Se0.05,https://doi.org/10.1021/acs.chemmater.7b01746,5,300.0,700.0,457.516339869281,0.015292971585106962,9.545441190839265,0.939616853710497,Mg-Sb
Bi:0.09072978304|Mg:0.6055226824|Sb:0.2958579882|Se:0.007889546351@@https://doi.org/10.1021/acs.chemmater.7b01746,Bi:0.09072978304|Mg:0.6055226824|Sb:0.2958579882|Se:0.007889546351,Mg3.07Sb1.5Bi0.46Se0.04,https://doi.org/10.1021/acs.chemmater.7b01746,5,300.0,700.0,457.516339869281,0.019217856931160068,9.621594014950942,0.9536138564880638,Mg-Sb
Bi:0.09270216963|Mg:0.6055226824|Sb:0.2958579882|Se:0.005917159763@@https://doi.org/10.1021/acs.chemmater.7b01746,Bi:0.09270216963|Mg:0.6055226824|Sb:0.2958579882|Se:0.005917159763,Mg3.07Sb1.5Bi0.47Se0.03,https://doi.org/10.1021/acs.chemmater.7b01746,5,300.0,700.0,457.516339869281,0.020577816905789716,9.70871769219708,0.9624071707241377,Mg-Sb
Bi:0.4230769231|Ca:0.5384615385|Mg:0.03846153846@@https://doi.org/10.1021/acs.inorgchem.7b01548,Bi:0.4230769231|Ca:0.5384615385|Mg:0.03846153846,Ca14MgBi11,https://doi.org/10.1021/acs.inorgchem.7b01548,8,326.0,1013.0,585.8395521284815,0.02365502432332964,10.689554930873332,0.9731814866341428,Bi-Ca
Bi:0.4|S:0.6@@https://doi.org/10.1007/s11467-018-0845-4,Bi:0.4|S:0.6,Bi2.0S3.0,https://doi.org/10.1007/s11467-018-0845-4,5,323.0,723.0,482.60919613947704,0.20155900779563338,8.735626615108627,0.9492887338489182,Bi-S
Ca:0.1875|Co:0.24375|O:0.5625|Ti:0.00625@@10.1016/j.jallcom.2010.04.055,Ca:0.1875|Co:0.24375|O:0.5625|Ti:0.00625,Ca3Co3.9Ti0.1O9,10.1016/j.jallcom.2010.04.055,5,300.0,1000.0,563.5062611806798,0.008947791923292307,8.957305319216733,0.9009385605893312,Ca-Co-O
Ca:0.1875|Co:0.25|O:0.5625@@10.1016/j.jallcom.2010.04.055,Ca:0.1875|Co:0.25|O:0.5625,Ca3Co4O9,10.1016/j.jallcom.2010.04.055,5,300.0,1000.0,563.5062611806798,0.005808361325247967,8.992416383223235,0.9307481317942669,Ca-Co-O
Ca:0.2727272727|Co:0.1818181818|O:0.5454545455@@https://doi.org/10.1063/1.1622115,Ca:0.2727272727|Co:0.1818181818|O:0.5454545455,Ca3Co2O6,https://doi.org/10.1063/1.1622115,8,373.0,1073.0,643.8597090766981,0.344646060514817,13.441980205258783,0.9953935958005022,Ca-Co-O
Ca:0.4285714286|Ge:0.04761904762|Sb:0.4285714286|Yb:0.09523809524@@https://doi.org/10.1021/acs.inorgchem.7b00617,Ca:0.4285714286|Ge:0.04761904762|Sb:0.4285714286|Yb:0.09523809524,Ca9Yb2Sb9Ge,https://doi.org/10.1021/acs.inorgchem.7b00617,5,327.0,701.0,477.76816108181066,0.03313033804588689,10.364707343008556,0.991403886753666,Ca-Sb
